alias,standard_name
Huangqi,Astragali radix
Gancao,Glycyrrhizae radix
Danggui,Angelicae sinensis radix
Chuanxiong,Chuanxiong rhizoma
Chishao,Paeoniae radix rubra
Shudihuang,Rehmanniae radix praeparata
Mudanpi,Moutan cortex
Huangbai,Phellodendri cortex
Huangli,Coptidis rhizoma
Huangqin,Scutellariae radix
Zhizi,Gardeniae fructus
Chenpi,Citri reticulatae pericarpium
Banxia,Pinelliae rhizoma
Shengjiang,Zingiberis rhizoma recens
Suanzaoren,Ziziphi spinosae semen
Yuanzhi,Polygalae radix
Shichangpu,Acori tatarinowii rhizoma
Jianghuang,Curcumae longae rhizoma
Yujin,Curcumae radix
