herb,ingredient
Bupleuri radix,Bupleuri_radix_ing_15
Bupleuri radix,Bupleuri_radix_ing_29
Bupleuri radix,Bupleuri_radix_ing_70
Bupleuri radix,Bupleuri_radix_ing_12
Bupleuri radix,Bupleuri_radix_ing_92
Bupleuri radix,Bupleuri_radix_ing_90
Bupleuri radix,Bupleuri_radix_ing_49
Bupleuri radix,Bupleuri_radix_ing_34
Bupleuri radix,Bupleuri_radix_ing_16
Bupleuri radix,Bupleuri_radix_ing_74
Bupleuri radix,Bupleuri_radix_ing_38
Bupleuri radix,Bupleuri_radix_ing_49
Bupleuri radix,Bupleuri_radix_ing_27
Bupleuri radix,Bupleuri_radix_ing_22
Bupleuri radix,Bupleuri_radix_ing_88
Poria cocos,Poria_cocos_ing_52
Poria cocos,Poria_cocos_ing_41
Poria cocos,Poria_cocos_ing_59
Poria cocos,Poria_cocos_ing_69
Poria cocos,Poria_cocos_ing_29
Poria cocos,Poria_cocos_ing_15
Poria cocos,Poria_cocos_ing_77
Poria cocos,Poria_cocos_ing_68
Poria cocos,Poria_cocos_ing_15
Poria cocos,Poria_cocos_ing_93
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_39
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_1
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_31
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_85
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_70
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_57
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_29
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_8
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_66
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_93
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_46
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_8
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_58
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_10
Angelicae sinensis radix,Angelicae_sinensis_radix_ing_12
Cyperi rhizoma,Cyperi_rhizoma_ing_8
Cyperi rhizoma,Cyperi_rhizoma_ing_59
Cyperi rhizoma,Cyperi_rhizoma_ing_92
Cyperi rhizoma,Cyperi_rhizoma_ing_96
Cyperi rhizoma,Cyperi_rhizoma_ing_21
Cyperi rhizoma,Cyperi_rhizoma_ing_24
Cyperi rhizoma,Cyperi_rhizoma_ing_31
Cyperi rhizoma,Cyperi_rhizoma_ing_11
Cyperi rhizoma,Cyperi_rhizoma_ing_92
Cyperi rhizoma,Cyperi_rhizoma_ing_41
Cyperi rhizoma,Cyperi_rhizoma_ing_13
Glycyrrhizae radix,Glycyrrhizae_radix_ing_45
Glycyrrhizae radix,Glycyrrhizae_radix_ing_21
Glycyrrhizae radix,Glycyrrhizae_radix_ing_71
Glycyrrhizae radix,Glycyrrhizae_radix_ing_15
Glycyrrhizae radix,Glycyrrhizae_radix_ing_37
Glycyrrhizae radix,Glycyrrhizae_radix_ing_7
Glycyrrhizae radix,Glycyrrhizae_radix_ing_6
Paeoniae radix alba,Paeoniae_radix_alba_ing_34
Paeoniae radix alba,Paeoniae_radix_alba_ing_72
Paeoniae radix alba,Paeoniae_radix_alba_ing_89
Paeoniae radix alba,Paeoniae_radix_alba_ing_71
Paeoniae radix alba,Paeoniae_radix_alba_ing_6
Paeoniae radix alba,Paeoniae_radix_alba_ing_53
Paeoniae radix alba,Paeoniae_radix_alba_ing_53
Paeoniae radix alba,Paeoniae_radix_alba_ing_43
Paeoniae radix alba,Paeoniae_radix_alba_ing_90
Paeoniae radix alba,Paeoniae_radix_alba_ing_61
Paeoniae radix alba,Paeoniae_radix_alba_ing_30
Paeoniae radix alba,Paeoniae_radix_alba_ing_9
Paeoniae radix alba,Paeoniae_radix_alba_ing_43
Paeoniae radix alba,Paeoniae_radix_alba_ing_34
Paeoniae radix alba,Paeoniae_radix_alba_ing_77
Scutellariae radix,Scutellariae_radix_ing_25
Scutellariae radix,Scutellariae_radix_ing_69
Scutellariae radix,Scutellariae_radix_ing_43
Scutellariae radix,Scutellariae_radix_ing_52
Scutellariae radix,Scutellariae_radix_ing_87
Scutellariae radix,Scutellariae_radix_ing_1
Scutellariae radix,Scutellariae_radix_ing_42
Scutellariae radix,Scutellariae_radix_ing_95
Scutellariae radix,Scutellariae_radix_ing_82
Scutellariae radix,Scutellariae_radix_ing_4
Scutellariae radix,Scutellariae_radix_ing_99
Scutellariae radix,Scutellariae_radix_ing_74
Scutellariae radix,Scutellariae_radix_ing_19
Scutellariae radix,Scutellariae_radix_ing_99
Coptidis rhizoma,Coptidis_rhizoma_ing_60
Coptidis rhizoma,Coptidis_rhizoma_ing_16
Coptidis rhizoma,Coptidis_rhizoma_ing_57
Coptidis rhizoma,Coptidis_rhizoma_ing_61
Coptidis rhizoma,Coptidis_rhizoma_ing_81
Coptidis rhizoma,Coptidis_rhizoma_ing_35
Coptidis rhizoma,Coptidis_rhizoma_ing_89
Coptidis rhizoma,Coptidis_rhizoma_ing_43
Coptidis rhizoma,Coptidis_rhizoma_ing_90
Coptidis rhizoma,Coptidis_rhizoma_ing_74
Coptidis rhizoma,Coptidis_rhizoma_ing_54
Coptidis rhizoma,Coptidis_rhizoma_ing_63
Coptidis rhizoma,Coptidis_rhizoma_ing_87
Polygalae radix,Polygalae_radix_ing_76
Polygalae radix,Polygalae_radix_ing_42
Polygalae radix,Polygalae_radix_ing_36
Polygalae radix,Polygalae_radix_ing_45
Polygalae radix,Polygalae_radix_ing_97
Polygalae radix,Polygalae_radix_ing_3
Polygalae radix,Polygalae_radix_ing_99
Polygalae radix,Polygalae_radix_ing_21
Polygalae radix,Polygalae_radix_ing_49
Polygalae radix,Polygalae_radix_ing_14
Polygalae radix,Polygalae_radix_ing_6
Ziziphi spinosae semen,Ziziphi_spinosae_semen_ing_54
Ziziphi spinosae semen,Ziziphi_spinosae_semen_ing_56
Ziziphi spinosae semen,Ziziphi_spinosae_semen_ing_79
Ziziphi spinosae semen,Ziziphi_spinosae_semen_ing_12
Ziziphi spinosae semen,Ziziphi_spinosae_semen_ing_86
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_44
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_67
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_98
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_3
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_32
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_55
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_41
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_89
Gastrodiae rhizoma,Gastrodiae_rhizoma_ing_93
