ingredient,target
Bupleuri_radix_ing_15,TAR_380
Bupleuri_radix_ing_15,TAR_141
Bupleuri_radix_ing_15,TAR_126
Bupleuri_radix_ing_29,TAR_378
Bupleuri_radix_ing_29,TAR_53
Bupleuri_radix_ing_29,TAR_347
Bupleuri_radix_ing_29,TAR_380
Bupleuri_radix_ing_29,TAR_457
Bupleuri_radix_ing_70,TAR_303
Bupleuri_radix_ing_70,TAR_217
Bupleuri_radix_ing_70,TAR_17
Bupleuri_radix_ing_70,TAR_16
Bupleuri_radix_ing_12,TAR_120
Bupleuri_radix_ing_12,TAR_259
Bupleuri_radix_ing_12,TAR_309
Bupleuri_radix_ing_12,TAR_14
Bupleuri_radix_ing_12,TAR_288
Bupleuri_radix_ing_12,TAR_102
Bupleuri_radix_ing_92,TAR_215
Bupleuri_radix_ing_92,TAR_113
Bupleuri_radix_ing_92,TAR_230
Bupleuri_radix_ing_92,TAR_302
Bupleuri_radix_ing_92,TAR_143
Bupleuri_radix_ing_92,TAR_415
Bupleuri_radix_ing_92,TAR_446
Bupleuri_radix_ing_92,TAR_4
Bupleuri_radix_ing_92,TAR_389
Bupleuri_radix_ing_92,TAR_413
Bupleuri_radix_ing_92,TAR_82
Bupleuri_radix_ing_90,TAR_175
Bupleuri_radix_ing_90,TAR_143
Bupleuri_radix_ing_90,TAR_80
Bupleuri_radix_ing_90,TAR_111
Bupleuri_radix_ing_90,TAR_491
Bupleuri_radix_ing_90,TAR_391
Bupleuri_radix_ing_90,TAR_173
Bupleuri_radix_ing_90,TAR_53
Bupleuri_radix_ing_90,TAR_48
Bupleuri_radix_ing_49,TAR_184
Bupleuri_radix_ing_49,TAR_434
Bupleuri_radix_ing_49,TAR_177
Bupleuri_radix_ing_49,TAR_310
Bupleuri_radix_ing_34,TAR_374
Bupleuri_radix_ing_34,TAR_236
Bupleuri_radix_ing_34,TAR_275
Bupleuri_radix_ing_16,TAR_41
Bupleuri_radix_ing_16,TAR_283
Bupleuri_radix_ing_16,TAR_151
Bupleuri_radix_ing_16,TAR_425
Bupleuri_radix_ing_16,TAR_322
Bupleuri_radix_ing_16,TAR_317
Bupleuri_radix_ing_16,TAR_454
Bupleuri_radix_ing_16,TAR_442
Bupleuri_radix_ing_16,TAR_186
Bupleuri_radix_ing_74,TAR_361
Bupleuri_radix_ing_74,TAR_36
Bupleuri_radix_ing_74,TAR_24
Bupleuri_radix_ing_74,TAR_339
Bupleuri_radix_ing_74,TAR_117
Bupleuri_radix_ing_74,TAR_396
Bupleuri_radix_ing_38,TAR_438
Bupleuri_radix_ing_38,TAR_120
Bupleuri_radix_ing_38,TAR_444
Bupleuri_radix_ing_38,TAR_52
Bupleuri_radix_ing_49,TAR_233
Bupleuri_radix_ing_49,TAR_326
Bupleuri_radix_ing_49,TAR_428
Bupleuri_radix_ing_49,TAR_187
Bupleuri_radix_ing_49,TAR_84
Bupleuri_radix_ing_49,TAR_190
Bupleuri_radix_ing_49,TAR_182
Bupleuri_radix_ing_27,TAR_360
Bupleuri_radix_ing_27,TAR_480
Bupleuri_radix_ing_27,TAR_350
Bupleuri_radix_ing_27,TAR_332
Bupleuri_radix_ing_27,TAR_37
Bupleuri_radix_ing_27,TAR_312
Bupleuri_radix_ing_27,TAR_326
Bupleuri_radix_ing_22,TAR_374
Bupleuri_radix_ing_22,TAR_126
Bupleuri_radix_ing_22,TAR_84
Bupleuri_radix_ing_22,TAR_237
Bupleuri_radix_ing_22,TAR_195
Bupleuri_radix_ing_22,TAR_139
Bupleuri_radix_ing_22,TAR_474
Bupleuri_radix_ing_22,TAR_328
Bupleuri_radix_ing_22,TAR_353
Bupleuri_radix_ing_22,TAR_286
Bupleuri_radix_ing_22,TAR_113
Bupleuri_radix_ing_88,TAR_432
Bupleuri_radix_ing_88,TAR_394
Bupleuri_radix_ing_88,TAR_398
Bupleuri_radix_ing_88,TAR_29
Bupleuri_radix_ing_88,TAR_118
Bupleuri_radix_ing_88,TAR_421
Bupleuri_radix_ing_88,TAR_17
Bupleuri_radix_ing_88,TAR_413
Poria_cocos_ing_52,TAR_34
Poria_cocos_ing_52,TAR_109
Poria_cocos_ing_52,TAR_468
Poria_cocos_ing_52,TAR_483
Poria_cocos_ing_52,TAR_291
Poria_cocos_ing_52,TAR_449
Poria_cocos_ing_52,TAR_368
Poria_cocos_ing_41,TAR_336
Poria_cocos_ing_41,TAR_256
Poria_cocos_ing_41,TAR_203
Poria_cocos_ing_41,TAR_453
Poria_cocos_ing_41,TAR_469
Poria_cocos_ing_41,TAR_330
Poria_cocos_ing_59,TAR_136
Poria_cocos_ing_59,TAR_72
Poria_cocos_ing_59,TAR_127
Poria_cocos_ing_59,TAR_382
Poria_cocos_ing_59,TAR_288
Poria_cocos_ing_69,TAR_383
Poria_cocos_ing_69,TAR_300
Poria_cocos_ing_69,TAR_220
Poria_cocos_ing_69,TAR_460
Poria_cocos_ing_69,TAR_299
Poria_cocos_ing_69,TAR_205
Poria_cocos_ing_69,TAR_186
Poria_cocos_ing_29,TAR_261
Poria_cocos_ing_29,TAR_253
Poria_cocos_ing_29,TAR_47
Poria_cocos_ing_29,TAR_387
Poria_cocos_ing_29,TAR_25
Poria_cocos_ing_15,TAR_322
Poria_cocos_ing_15,TAR_82
Poria_cocos_ing_15,TAR_406
Poria_cocos_ing_15,TAR_349
Poria_cocos_ing_15,TAR_217
Poria_cocos_ing_77,TAR_198
Poria_cocos_ing_77,TAR_196
Poria_cocos_ing_77,TAR_306
Poria_cocos_ing_77,TAR_240
Poria_cocos_ing_68,TAR_498
Poria_cocos_ing_68,TAR_284
Poria_cocos_ing_68,TAR_441
Poria_cocos_ing_68,TAR_483
Poria_cocos_ing_68,TAR_6
Poria_cocos_ing_68,TAR_349
Poria_cocos_ing_68,TAR_370
Poria_cocos_ing_15,TAR_385
Poria_cocos_ing_15,TAR_137
Poria_cocos_ing_15,TAR_394
Poria_cocos_ing_15,TAR_329
Poria_cocos_ing_15,TAR_175
Poria_cocos_ing_15,TAR_58
Poria_cocos_ing_15,TAR_151
Poria_cocos_ing_15,TAR_223
Poria_cocos_ing_15,TAR_81
Poria_cocos_ing_15,TAR_233
Poria_cocos_ing_15,TAR_2
Poria_cocos_ing_93,TAR_498
Poria_cocos_ing_93,TAR_257
Poria_cocos_ing_93,TAR_391
Poria_cocos_ing_93,TAR_92
Poria_cocos_ing_93,TAR_260
Poria_cocos_ing_93,TAR_468
Poria_cocos_ing_93,TAR_55
Angelicae_sinensis_radix_ing_39,TAR_312
Angelicae_sinensis_radix_ing_39,TAR_102
Angelicae_sinensis_radix_ing_39,TAR_79
Angelicae_sinensis_radix_ing_39,TAR_192
Angelicae_sinensis_radix_ing_39,TAR_391
Angelicae_sinensis_radix_ing_39,TAR_83
Angelicae_sinensis_radix_ing_39,TAR_277
Angelicae_sinensis_radix_ing_39,TAR_489
Angelicae_sinensis_radix_ing_39,TAR_399
Angelicae_sinensis_radix_ing_39,TAR_473
Angelicae_sinensis_radix_ing_39,TAR_272
Angelicae_sinensis_radix_ing_1,TAR_166
Angelicae_sinensis_radix_ing_1,TAR_251
Angelicae_sinensis_radix_ing_1,TAR_10
Angelicae_sinensis_radix_ing_1,TAR_58
Angelicae_sinensis_radix_ing_1,TAR_476
Angelicae_sinensis_radix_ing_1,TAR_186
Angelicae_sinensis_radix_ing_1,TAR_450
Angelicae_sinensis_radix_ing_1,TAR_426
Angelicae_sinensis_radix_ing_1,TAR_414
Angelicae_sinensis_radix_ing_1,TAR_158
Angelicae_sinensis_radix_ing_1,TAR_123
Angelicae_sinensis_radix_ing_1,TAR_30
Angelicae_sinensis_radix_ing_31,TAR_485
Angelicae_sinensis_radix_ing_31,TAR_41
Angelicae_sinensis_radix_ing_31,TAR_44
Angelicae_sinensis_radix_ing_31,TAR_375
Angelicae_sinensis_radix_ing_31,TAR_249
Angelicae_sinensis_radix_ing_31,TAR_418
Angelicae_sinensis_radix_ing_31,TAR_36
Angelicae_sinensis_radix_ing_31,TAR_390
Angelicae_sinensis_radix_ing_31,TAR_273
Angelicae_sinensis_radix_ing_31,TAR_393
Angelicae_sinensis_radix_ing_31,TAR_65
Angelicae_sinensis_radix_ing_31,TAR_66
Angelicae_sinensis_radix_ing_85,TAR_485
Angelicae_sinensis_radix_ing_85,TAR_282
Angelicae_sinensis_radix_ing_85,TAR_85
Angelicae_sinensis_radix_ing_85,TAR_136
Angelicae_sinensis_radix_ing_85,TAR_271
Angelicae_sinensis_radix_ing_85,TAR_447
Angelicae_sinensis_radix_ing_85,TAR_311
Angelicae_sinensis_radix_ing_85,TAR_217
Angelicae_sinensis_radix_ing_85,TAR_494
Angelicae_sinensis_radix_ing_85,TAR_109
Angelicae_sinensis_radix_ing_70,TAR_366
Angelicae_sinensis_radix_ing_70,TAR_160
Angelicae_sinensis_radix_ing_70,TAR_205
Angelicae_sinensis_radix_ing_70,TAR_344
Angelicae_sinensis_radix_ing_70,TAR_333
Angelicae_sinensis_radix_ing_70,TAR_192
Angelicae_sinensis_radix_ing_57,TAR_232
Angelicae_sinensis_radix_ing_57,TAR_62
Angelicae_sinensis_radix_ing_57,TAR_127
Angelicae_sinensis_radix_ing_57,TAR_116
Angelicae_sinensis_radix_ing_57,TAR_33
Angelicae_sinensis_radix_ing_57,TAR_174
Angelicae_sinensis_radix_ing_57,TAR_11
Angelicae_sinensis_radix_ing_57,TAR_302
Angelicae_sinensis_radix_ing_57,TAR_284
Angelicae_sinensis_radix_ing_57,TAR_118
Angelicae_sinensis_radix_ing_57,TAR_302
Angelicae_sinensis_radix_ing_29,TAR_37
Angelicae_sinensis_radix_ing_29,TAR_363
Angelicae_sinensis_radix_ing_29,TAR_324
Angelicae_sinensis_radix_ing_8,TAR_35
Angelicae_sinensis_radix_ing_8,TAR_464
Angelicae_sinensis_radix_ing_8,TAR_17
Angelicae_sinensis_radix_ing_8,TAR_441
Angelicae_sinensis_radix_ing_8,TAR_170
Angelicae_sinensis_radix_ing_8,TAR_37
Angelicae_sinensis_radix_ing_66,TAR_143
Angelicae_sinensis_radix_ing_66,TAR_343
Angelicae_sinensis_radix_ing_66,TAR_249
Angelicae_sinensis_radix_ing_66,TAR_110
Angelicae_sinensis_radix_ing_66,TAR_277
Angelicae_sinensis_radix_ing_66,TAR_68
Angelicae_sinensis_radix_ing_93,TAR_296
Angelicae_sinensis_radix_ing_93,TAR_243
Angelicae_sinensis_radix_ing_93,TAR_125
Angelicae_sinensis_radix_ing_93,TAR_402
Angelicae_sinensis_radix_ing_93,TAR_243
Angelicae_sinensis_radix_ing_93,TAR_414
Angelicae_sinensis_radix_ing_93,TAR_209
Angelicae_sinensis_radix_ing_93,TAR_98
Angelicae_sinensis_radix_ing_93,TAR_49
Angelicae_sinensis_radix_ing_93,TAR_50
Angelicae_sinensis_radix_ing_93,TAR_338
Angelicae_sinensis_radix_ing_93,TAR_221
Angelicae_sinensis_radix_ing_46,TAR_211
Angelicae_sinensis_radix_ing_46,TAR_240
Angelicae_sinensis_radix_ing_46,TAR_443
Angelicae_sinensis_radix_ing_46,TAR_374
Angelicae_sinensis_radix_ing_46,TAR_28
Angelicae_sinensis_radix_ing_46,TAR_345
Angelicae_sinensis_radix_ing_46,TAR_335
Angelicae_sinensis_radix_ing_46,TAR_331
Angelicae_sinensis_radix_ing_46,TAR_51
Angelicae_sinensis_radix_ing_8,TAR_373
Angelicae_sinensis_radix_ing_8,TAR_174
Angelicae_sinensis_radix_ing_8,TAR_410
Angelicae_sinensis_radix_ing_8,TAR_442
Angelicae_sinensis_radix_ing_8,TAR_56
Angelicae_sinensis_radix_ing_8,TAR_128
Angelicae_sinensis_radix_ing_8,TAR_99
Angelicae_sinensis_radix_ing_8,TAR_98
Angelicae_sinensis_radix_ing_8,TAR_275
Angelicae_sinensis_radix_ing_58,TAR_217
Angelicae_sinensis_radix_ing_58,TAR_94
Angelicae_sinensis_radix_ing_58,TAR_143
Angelicae_sinensis_radix_ing_58,TAR_237
Angelicae_sinensis_radix_ing_58,TAR_128
Angelicae_sinensis_radix_ing_10,TAR_414
Angelicae_sinensis_radix_ing_10,TAR_442
Angelicae_sinensis_radix_ing_10,TAR_439
Angelicae_sinensis_radix_ing_10,TAR_282
Angelicae_sinensis_radix_ing_10,TAR_51
Angelicae_sinensis_radix_ing_10,TAR_26
Angelicae_sinensis_radix_ing_10,TAR_334
Angelicae_sinensis_radix_ing_10,TAR_277
Angelicae_sinensis_radix_ing_10,TAR_429
Angelicae_sinensis_radix_ing_10,TAR_8
Angelicae_sinensis_radix_ing_12,TAR_86
Angelicae_sinensis_radix_ing_12,TAR_209
Angelicae_sinensis_radix_ing_12,TAR_249
Angelicae_sinensis_radix_ing_12,TAR_247
Angelicae_sinensis_radix_ing_12,TAR_110
Angelicae_sinensis_radix_ing_12,TAR_443
Cyperi_rhizoma_ing_8,TAR_195
Cyperi_rhizoma_ing_8,TAR_2
Cyperi_rhizoma_ing_8,TAR_200
Cyperi_rhizoma_ing_8,TAR_136
Cyperi_rhizoma_ing_8,TAR_475
Cyperi_rhizoma_ing_59,TAR_217
Cyperi_rhizoma_ing_59,TAR_357
Cyperi_rhizoma_ing_59,TAR_491
Cyperi_rhizoma_ing_59,TAR_375
Cyperi_rhizoma_ing_59,TAR_402
Cyperi_rhizoma_ing_59,TAR_285
Cyperi_rhizoma_ing_59,TAR_339
Cyperi_rhizoma_ing_92,TAR_80
Cyperi_rhizoma_ing_92,TAR_98
Cyperi_rhizoma_ing_92,TAR_152
Cyperi_rhizoma_ing_92,TAR_112
Cyperi_rhizoma_ing_92,TAR_496
Cyperi_rhizoma_ing_92,TAR_30
Cyperi_rhizoma_ing_92,TAR_297
Cyperi_rhizoma_ing_92,TAR_377
Cyperi_rhizoma_ing_92,TAR_278
Cyperi_rhizoma_ing_92,TAR_32
Cyperi_rhizoma_ing_96,TAR_30
Cyperi_rhizoma_ing_96,TAR_26
Cyperi_rhizoma_ing_96,TAR_300
Cyperi_rhizoma_ing_96,TAR_245
Cyperi_rhizoma_ing_96,TAR_258
Cyperi_rhizoma_ing_96,TAR_471
Cyperi_rhizoma_ing_96,TAR_437
Cyperi_rhizoma_ing_96,TAR_272
Cyperi_rhizoma_ing_21,TAR_492
Cyperi_rhizoma_ing_21,TAR_261
Cyperi_rhizoma_ing_21,TAR_42
Cyperi_rhizoma_ing_24,TAR_305
Cyperi_rhizoma_ing_24,TAR_35
Cyperi_rhizoma_ing_24,TAR_346
Cyperi_rhizoma_ing_24,TAR_442
Cyperi_rhizoma_ing_31,TAR_62
Cyperi_rhizoma_ing_31,TAR_483
Cyperi_rhizoma_ing_31,TAR_456
Cyperi_rhizoma_ing_31,TAR_292
Cyperi_rhizoma_ing_31,TAR_127
Cyperi_rhizoma_ing_31,TAR_297
Cyperi_rhizoma_ing_31,TAR_305
Cyperi_rhizoma_ing_31,TAR_21
Cyperi_rhizoma_ing_31,TAR_318
Cyperi_rhizoma_ing_11,TAR_337
Cyperi_rhizoma_ing_11,TAR_299
Cyperi_rhizoma_ing_11,TAR_290
Cyperi_rhizoma_ing_11,TAR_268
Cyperi_rhizoma_ing_11,TAR_162
Cyperi_rhizoma_ing_11,TAR_479
Cyperi_rhizoma_ing_11,TAR_134
Cyperi_rhizoma_ing_11,TAR_105
Cyperi_rhizoma_ing_11,TAR_343
Cyperi_rhizoma_ing_92,TAR_123
Cyperi_rhizoma_ing_92,TAR_136
Cyperi_rhizoma_ing_92,TAR_203
Cyperi_rhizoma_ing_92,TAR_68
Cyperi_rhizoma_ing_92,TAR_344
Cyperi_rhizoma_ing_92,TAR_331
Cyperi_rhizoma_ing_92,TAR_154
Cyperi_rhizoma_ing_92,TAR_235
Cyperi_rhizoma_ing_41,TAR_5
Cyperi_rhizoma_ing_41,TAR_235
Cyperi_rhizoma_ing_41,TAR_319
Cyperi_rhizoma_ing_41,TAR_289
Cyperi_rhizoma_ing_13,TAR_276
Cyperi_rhizoma_ing_13,TAR_110
Cyperi_rhizoma_ing_13,TAR_260
Cyperi_rhizoma_ing_13,TAR_136
Glycyrrhizae_radix_ing_45,TAR_451
Glycyrrhizae_radix_ing_45,TAR_126
Glycyrrhizae_radix_ing_45,TAR_190
Glycyrrhizae_radix_ing_45,TAR_146
Glycyrrhizae_radix_ing_21,TAR_427
Glycyrrhizae_radix_ing_21,TAR_279
Glycyrrhizae_radix_ing_21,TAR_361
Glycyrrhizae_radix_ing_21,TAR_155
Glycyrrhizae_radix_ing_21,TAR_314
Glycyrrhizae_radix_ing_21,TAR_414
Glycyrrhizae_radix_ing_21,TAR_335
Glycyrrhizae_radix_ing_21,TAR_271
Glycyrrhizae_radix_ing_21,TAR_5
Glycyrrhizae_radix_ing_21,TAR_342
Glycyrrhizae_radix_ing_71,TAR_478
Glycyrrhizae_radix_ing_71,TAR_340
Glycyrrhizae_radix_ing_71,TAR_54
Glycyrrhizae_radix_ing_71,TAR_481
Glycyrrhizae_radix_ing_71,TAR_450
Glycyrrhizae_radix_ing_71,TAR_69
Glycyrrhizae_radix_ing_71,TAR_136
Glycyrrhizae_radix_ing_15,TAR_381
Glycyrrhizae_radix_ing_15,TAR_284
Glycyrrhizae_radix_ing_15,TAR_80
Glycyrrhizae_radix_ing_15,TAR_140
Glycyrrhizae_radix_ing_37,TAR_108
Glycyrrhizae_radix_ing_37,TAR_368
Glycyrrhizae_radix_ing_37,TAR_176
Glycyrrhizae_radix_ing_37,TAR_105
Glycyrrhizae_radix_ing_37,TAR_352
Glycyrrhizae_radix_ing_37,TAR_325
Glycyrrhizae_radix_ing_37,TAR_437
Glycyrrhizae_radix_ing_37,TAR_136
Glycyrrhizae_radix_ing_37,TAR_259
Glycyrrhizae_radix_ing_37,TAR_251
Glycyrrhizae_radix_ing_37,TAR_129
Glycyrrhizae_radix_ing_37,TAR_464
Glycyrrhizae_radix_ing_7,TAR_325
Glycyrrhizae_radix_ing_7,TAR_217
Glycyrrhizae_radix_ing_7,TAR_425
Glycyrrhizae_radix_ing_7,TAR_142
Glycyrrhizae_radix_ing_6,TAR_171
Glycyrrhizae_radix_ing_6,TAR_395
Glycyrrhizae_radix_ing_6,TAR_67
Paeoniae_radix_alba_ing_34,TAR_380
Paeoniae_radix_alba_ing_34,TAR_227
Paeoniae_radix_alba_ing_34,TAR_283
Paeoniae_radix_alba_ing_34,TAR_362
Paeoniae_radix_alba_ing_34,TAR_219
Paeoniae_radix_alba_ing_72,TAR_58
Paeoniae_radix_alba_ing_72,TAR_39
Paeoniae_radix_alba_ing_72,TAR_484
Paeoniae_radix_alba_ing_89,TAR_280
Paeoniae_radix_alba_ing_89,TAR_19
Paeoniae_radix_alba_ing_89,TAR_428
Paeoniae_radix_alba_ing_89,TAR_190
Paeoniae_radix_alba_ing_89,TAR_299
Paeoniae_radix_alba_ing_71,TAR_221
Paeoniae_radix_alba_ing_71,TAR_66
Paeoniae_radix_alba_ing_71,TAR_22
Paeoniae_radix_alba_ing_71,TAR_158
Paeoniae_radix_alba_ing_71,TAR_187
Paeoniae_radix_alba_ing_6,TAR_108
Paeoniae_radix_alba_ing_6,TAR_350
Paeoniae_radix_alba_ing_6,TAR_128
Paeoniae_radix_alba_ing_6,TAR_342
Paeoniae_radix_alba_ing_6,TAR_53
Paeoniae_radix_alba_ing_6,TAR_182
Paeoniae_radix_alba_ing_6,TAR_400
Paeoniae_radix_alba_ing_6,TAR_287
Paeoniae_radix_alba_ing_53,TAR_384
Paeoniae_radix_alba_ing_53,TAR_80
Paeoniae_radix_alba_ing_53,TAR_474
Paeoniae_radix_alba_ing_53,TAR_477
Paeoniae_radix_alba_ing_53,TAR_122
Paeoniae_radix_alba_ing_53,TAR_443
Paeoniae_radix_alba_ing_53,TAR_84
Paeoniae_radix_alba_ing_53,TAR_500
Paeoniae_radix_alba_ing_53,TAR_410
Paeoniae_radix_alba_ing_53,TAR_416
Paeoniae_radix_alba_ing_53,TAR_91
Paeoniae_radix_alba_ing_53,TAR_452
Paeoniae_radix_alba_ing_53,TAR_92
Paeoniae_radix_alba_ing_53,TAR_378
Paeoniae_radix_alba_ing_53,TAR_474
Paeoniae_radix_alba_ing_43,TAR_411
Paeoniae_radix_alba_ing_43,TAR_343
Paeoniae_radix_alba_ing_43,TAR_443
Paeoniae_radix_alba_ing_43,TAR_377
Paeoniae_radix_alba_ing_43,TAR_416
Paeoniae_radix_alba_ing_43,TAR_128
Paeoniae_radix_alba_ing_43,TAR_137
Paeoniae_radix_alba_ing_43,TAR_82
Paeoniae_radix_alba_ing_43,TAR_404
Paeoniae_radix_alba_ing_90,TAR_196
Paeoniae_radix_alba_ing_90,TAR_447
Paeoniae_radix_alba_ing_90,TAR_20
Paeoniae_radix_alba_ing_90,TAR_440
Paeoniae_radix_alba_ing_61,TAR_103
Paeoniae_radix_alba_ing_61,TAR_419
Paeoniae_radix_alba_ing_61,TAR_471
Paeoniae_radix_alba_ing_61,TAR_236
Paeoniae_radix_alba_ing_61,TAR_180
Paeoniae_radix_alba_ing_61,TAR_157
Paeoniae_radix_alba_ing_30,TAR_13
