Candidate_Term,Frequency
Traditional Chinese Medicine,34
Traditional Chinese,27
Kyoto Encyclopedia,17
Hamilton Depression Scale,14
Cochrane Library,14
Gene Ontology,13
Radix Bupleuri,13
China National Knowledge Infrastructure,12
Chai Hu Shu Gan,10
systematic review and meta-analysis,10
Chinese Herbal Medicine,8
Chaihu Anxin Capsule,8
systematic review and meta-analysis of,7
Systematic Reviews,7
Google Scholar,7
Modified Xiaoyao San,7
rat model,6
mouse model was established,6
Jiawei Dachaihu,6
Shan Zha,6
anxiety and depression,6
Hamilton Depression Rating Scale,5
Wanfang Data,5
Shu Gan,5
Rou Gan,5
anxiety and depression in,5
mouse model,5
mouse model was used,5
mouse model of depression,5
rat model of depression,5
systematic review and network meta-analysis,5
Longya Lilium,5
BDNF signaling pathway,4
BDNF expression,4
rat model was established,4
mTOR pathway,4
mTOR signaling pathway,4
BDNF mRNA,4
HTR2A and HTR,4
Chinese Biomedical Literature Database,4
Edinburgh Postnatal Depression Scale,4
Tiaoqi Jieyu,4
Shao Yao,4
Gui Zhi,4
Tiaoren Tongdu,4
Jingyue Quanshu,4
Shugan San,4
Chronic Unpredictable Mild Stress,4
Review Manager,4
JNK pathway,3
Baihe Zhimu,3
Ganmai Dazao Decoction,3
Herb Pair,3
Network Meta,3
Muli Decoction,3
Signaling Pathway,3
Xiaoyao Powder,3
Xingnao Jieyu Decoction,3
Bias Tool,3
Controlled Trials,3
Cochrane Central Register,3
Chaihu Shugan,3
Hamilton Rating Scale,3
Cochrane Risk,3
Wanfang Database,3
Preferred Reporting Items,3
Treating Depression,3
Rating Depression Scale,3
anxiety and depression via,3
cAMP signaling pathway,3
Yueju Wan volatile oil could,3
rat model of chronic,3
anxiety scale,3
berberine and ginsenoside Rb,3
Wuling Capsules prepared with the,3
Systematic Review and Meta-Analysis,3
rat models of depression,3
TLR4 and NF-,3
BDNF signaling,3
mice were exposed to,3
BDNF transcription in the,3
elevated plus maze test,3
JNK in the hippocampus,3
Febrile Diseases,2
Yueju Wan volatile oil in,2
randomized controlled trial included,2
metabolomics and,2
mice with chronic unpredictable,2
rat plasma,2
mouse model subjected to,2
BDNF signaling axis,2
metabolomics and network pharmacology,2
Mice were subjected to,2
mice model of depression,2
Meta-analysis was performed using,2
Chaihu Shugan San exerts antidepressant effects,2
mice model,2
