PMID,Entity,Type
35168522,depression,Disease
35168522,major depressive disorder,Disease
35168522,post-stroke depression,Disease
35168522,postpartum depression,Disease
35168522,acupuncture,Intervention
35168522,human,Species
37143014,anxiety,Adverse_event
37143014,insomnia,Adverse_event
37143014,post-stroke depression,Disease
37143014,anxiety,Disease
37143014,depression,Disease
37143014,systematic review,Evidence
37143014,network meta-analysis,Evidence
37143014,clinical trial,Evidence
37143014,bayesian network meta-analysis,Evidence
37143014,acupuncture,Intervention
37143014,repetitive transcranial magnetic stimulation,Intervention
37143014,anxiety,Symptom
37143014,hopelessness,Symptom
37143014,insomnia,Symptom
37248211,st36,Acupoint
37248211,prefrontal cortex,Brain_region
37248211,depression,Disease
37248211,major depressive disorder,Disease
37248211,sucrose preference,Experiment_indicator
37248211,tail suspension test,Experiment_indicator
37248211,electroacupuncture,Intervention
37248211,fluoxetine,Pharmacology
37248211,astrocyte,Species
37248211,mice,Species
34446530,depression,Disease
34446530,systematic review,Evidence
34446530,meta-analysis,Evidence
34446530,acupuncture,Intervention
40466510,hippocampus,Brain_region
40466510,prefrontal cortex,Brain_region
40466510,amygdala,Brain_region
40466510,depression,Disease
36948325,il-1β,Cytokine
36948325,depression,Disease
36948325,major depressive disorder,Disease
36948325,controlled clinical trial,Evidence
36948325,tnf,Gene
36948325,acupuncture,Intervention
36948325,il-1β,Target
39648209,ht7,Acupoint
39648209,pc6,Acupoint
39648209,sp6,Acupoint
39648209,lr3,Acupoint
39648209,somnolence,Adverse_event
39648209,nausea,Adverse_event
39648209,striatum,Brain_region
39648209,cerebellum,Brain_region
39648209,major depressive disorder,Disease
39648209,depression,Disease
39648209,randomized controlled trial,Evidence
39648209,intradermal acupuncture,Intervention
39648209,acupuncture,Intervention
39648209,serotonin,Neurotransmitter
39648209,hamd-17,Scale
39648209,nausea,Symptom
39426604,depression,Disease
39426604,major depressive disorder,Disease
42088582,depression,Disease
42088582,serotonin,Neurotransmitter
27693978,striatum,Brain_region
27693978,prefrontal cortex,Brain_region
27693978,amygdala,Brain_region
27693978,major depressive disorder,Disease
27693978,depression,Disease
27693978,fmri,Evidence
27693978,acupuncture,Intervention
27693978,fluoxetine,Pharmacology
38262525,anxiety,Adverse_event
38262525,hippocampus,Brain_region
38262525,postpartum depression,Disease
38262525,anxiety,Disease
38262525,depression,Disease
38262525,paeoniflorin,Ingredient
38262525,hypericin,Ingredient
38262525,serotonin,Neurotransmitter
38262525,rats,Species
38262525,anxiety,Symptom
28807166,major depressive disorder,Disease
28807166,depression,Disease
34551699,major depressive disorder,Disease
34551699,human,Species
32457610,depression,Disease
32457610,bdnf,Gene
32457610,bdnf,Neurotransmitter
32457610,glutamate,Neurotransmitter
32457610,bdnf,Target
39620153,major depressive disorder,Disease
39620153,depression,Disease
39620153,pilot study,Evidence
39620153,randomized controlled trial,Evidence
39620153,electroacupuncture,Intervention
39620153,acupuncture,Intervention
39620153,whodas 2.0,Scale
39620153,phq-9,Scale
39620153,patient,Species
28925891,depression,Disease
36949321,major depressive disorder,Disease
36949321,depression,Disease
36949321,literature review,Evidence
36949321,acupuncture,Intervention
38983910,depression,Disease
36969689,nausea,Adverse_event
36969689,depression,Disease
36969689,narrative review,Evidence
36969689,nausea,Symptom
41163407,gv20,Acupoint
41163407,st36,Acupoint
41163407,major depressive disorder,Disease
41163407,depression,Disease
41163407,16s rrna sequencing,Evidence
41163407,metabolomics,Evidence
41163407,sucrose preference,Experiment_indicator
41163407,tail suspension test,Experiment_indicator
41163407,acupuncture,Intervention
41163407,mice,Species
37159675,gv20,Acupoint
37159675,lr3,Acupoint
37159675,pc6,Acupoint
37159675,sp6,Acupoint
37159675,major depressive disorder,Disease
37159675,data mining,Evidence
37159675,acupuncture,Intervention
37159675,manual acupuncture,Intervention
33116523,depression,Disease
33116523,jiuwei zhenxin granules,Formula
9646895,patch,Administration
9646895,anxiety,Adverse_event
9646895,addiction,Adverse_event
9646895,depression,Disease
9646895,anxiety,Disease
9646895,electroacupuncture,Intervention
9646895,acupuncture,Intervention
9646895,manual acupuncture,Intervention
9646895,rabbit,Species
9646895,anxiety,Symptom
35496318,depression,Disease
39253375,depression,Disease
39253375,mood disorder,Disease
41100813,depression,Disease
41100813,systematic review,Evidence
41100813,acupuncture,Intervention
41100813,moxibustion,Intervention
40018358,major depressive disorder,Disease
40018358,depression,Disease
40018358,acupuncture,Intervention
40018358,electroacupuncture,Intervention
37631092,major depressive disorder,Disease
37631092,depression,Disease
37631092,systematic review,Evidence
37631092,meta-analysis,Evidence
37631092,cognitive behavioral therapy,Intervention
37631092,serotonin,Neurotransmitter
37631092,cortisol,Neurotransmitter
37631092,sadness,Symptom
37631092,loss of interest,Symptom
36873772,major depressive disorder,Disease
36873772,acupuncture,Intervention
36682244,decoction,Administration
36682244,depression,Disease
36682244,network pharmacology,Evidence
36682244,xiaochaihu decoction,Formula
36682244,regulating qi,Tcm_therapy
31370200,depression,Disease
31370200,major depressive disorder,Disease
31370200,systematic review,Evidence
31370200,meta-analysis,Evidence
31370200,acupuncture,Intervention
31370200,laser acupuncture,Intervention
25183301,depression,Disease
25183301,systematic review,Evidence
25183301,ham-d,Scale
25183301,weakness,Symptom
24697344,capsule,Administration
24697344,major depressive disorder,Disease
24697344,depression,Disease
24697344,systematic review,Evidence
24697344,venlafaxine,Pharmacology
24697344,patient,Species
40515694,perimenopausal depression,Disease
35152089,depression,Disease
35152089,systematic review,Evidence
35152089,sadness,Symptom
40374592,st36,Acupoint
40374592,ca1 region,Brain_region
40374592,depression,Disease
40374592,bdnf,Gene
40374592,electroacupuncture,Intervention
40374592,corticosterone,Neurotransmitter
40374592,bdnf,Neurotransmitter
40374592,mice,Species
40374592,bdnf,Target
34225013,depressive disorder,Disease
34225013,depression,Disease
34225013,metabolomics,Evidence
39528081,il-10,Cytokine
39528081,il-6,Cytokine
39528081,depressive disorder,Disease
39528081,depression,Disease
39528081,protocol,Evidence
39528081,sucrose preference,Experiment_indicator
39528081,electroacupuncture,Intervention
39528081,acupuncture,Intervention
39528081,5-ht,Neurotransmitter
39528081,dopamine,Neurotransmitter
39528081,da,Neurotransmitter
39528081,rats,Species
39528081,neural stem cell,Species
39528081,rat,Species
39528081,il-6,Target
33466877,hypothalamus,Brain_region
33466877,depression,Disease
37930334,depression,Disease
30396632,postpartum depression,Disease
30396632,depression,Disease
30396632,systematic review,Evidence
30396632,acupuncture,Intervention
30396632,epds,Scale
40033393,depression,Disease
40033393,basic research,Evidence
40033393,protocol,Evidence
40033393,nlrp3,Gene
40033393,acupuncture,Intervention
40033393,electroacupuncture,Intervention
40033393,acupoint catgut embedding,Intervention
40033393,manual acupuncture,Intervention
40033393,5-ht,Neurotransmitter
40033393,dopamine,Neurotransmitter
40033393,da,Neurotransmitter
40033393,calcium signaling pathway,Pathway
40033393,p2x7r,Target
40033393,nlrp3,Target
41437027,subthreshold depression,Disease
41437027,major depressive disorder,Disease
41437027,depression,Disease
41437027,randomized controlled trial,Evidence
41437027,clinical trial,Evidence
41437027,acupuncture,Intervention
41437027,hamd-17,Scale
38808079,depression,Disease
38808079,acupuncture,Intervention
31780032,depression,Disease
31780032,systematic review,Evidence
31780032,meta-analysis,Evidence
31780032,acupuncture,Intervention
31780032,tuina,Intervention
32147048,major depressive disorder,Disease
32147048,depression,Disease
32147048,scoping review,Evidence
32147048,acupuncture,Intervention
39701700,hippocampus,Brain_region
39701700,depression,Disease
37255171,major depressive disorder,Disease
37255171,data mining,Evidence
37255171,baweixiaoyaosan,Formula
37255171,jun,Target
40785662,post-stroke depression,Disease
34636498,anxiety,Adverse_event
34636498,depression,Disease
34636498,anxiety,Disease
34636498,qigong,Intervention
34636498,acupuncture,Intervention
34636498,worry,Symptom
34636498,anxiety,Symptom
19507266,depression,Disease
36791924,decoction,Administration
36791924,depression,Disease
36921619,anxiety,Adverse_event
36921619,mood disorder,Disease
36921619,depression,Disease
36921619,anxiety,Disease
36921619,randomized controlled trial,Evidence
36921619,acupuncture,Intervention
36921619,sds,Scale
36921619,sas,Scale
36921619,anxiety,Symptom
36529248,depression,Disease
36529248,systematic review,Evidence
36529248,fecal microbiota transplantation,Intervention
37897838,anxiety,Adverse_event
37897838,major depressive disorder,Disease
37897838,depression,Disease
37897838,anxiety,Disease
37897838,machine learning,Evidence
37897838,acupuncture,Intervention
37897838,hamd-17,Scale
37897838,sds,Scale
37897838,anxiety,Symptom
37897838,max,Target
34049476,depression,Disease
38306565,depression,Disease
24761171,anxiety,Adverse_event
24761171,anxiety,Disease
24761171,depression,Disease
24761171,major depressive disorder,Disease
24761171,systematic review,Evidence
24761171,acupuncture,Intervention
24761171,anxiety,Symptom
39157399,depression,Disease
39157399,human,Species
34623754,depression,Disease
34623754,systematic review,Evidence
34623754,acupuncture,Intervention
34623754,cognitive behavioral therapy,Intervention
35232229,gv20,Acupoint
35232229,sp6,Acupoint
35232229,lr3,Acupoint
35232229,bl18,Acupoint
35232229,hematoma,Adverse_event
35232229,post-stroke depression,Disease
35232229,depression,Disease
35232229,randomized controlled trial,Evidence
35232229,clinical trial,Evidence
35232229,electroacupuncture,Intervention
35232229,acupuncture,Intervention
35232229,sds,Scale
34840949,insomnia,Adverse_event
34840949,anxiety,Adverse_event
34840949,major depressive disorder,Disease
34840949,depression,Disease
34840949,anxiety,Disease
34840949,clinical trial,Evidence
34840949,protocol,Evidence
34840949,electroacupuncture,Intervention
34840949,moxibustion,Intervention
34840949,insomnia,Symptom
34840949,anxiety,Symptom
28851961,depressive disorder,Disease
28851961,depression,Disease
28851961,systematic review,Evidence
28851961,meta-analysis,Evidence
28851961,open field test,Experiment_indicator
28851961,acupuncture,Intervention
28851961,rats,Species
39140625,major depressive disorder,Disease
39140625,depression,Disease
39140625,meta-analysis,Evidence
39140625,acupuncture,Intervention
39140625,manual acupuncture,Intervention
39140625,laser acupuncture,Intervention
39140625,electroacupuncture,Intervention
33324063,pill,Administration
33324063,depression,Disease
33324063,systematic review,Evidence
30963358,depression,Disease
30963358,qualitative study,Evidence
38694562,depression,Disease
38694562,mice,Species
37802855,depression,Disease
37802855,depressive disorder,Disease
37802855,serotonin,Neurotransmitter
37802855,microglia,Species
38152691,depression,Disease
38152691,serotonin,Neurotransmitter
38152691,anhedonia,Symptom
38152691,hopelessness,Symptom
41015814,depression,Disease
41015814,machine learning,Evidence
41015814,text mining,Evidence
36698870,depression,Disease
36698870,systematic review,Evidence
36698870,meta-analysis,Evidence
36698870,sucrose preference,Experiment_indicator
36698870,rats,Species
36774722,post-stroke depression,Disease
36774722,depression,Disease
36774722,flow cytometry,Evidence
36774722,patient,Species
36774722,rat,Species
36774722,rats,Species
36774722,microglia,Species
36774722,stat3,Target
36774722,gsk3β,Target
40154896,hippocampus,Brain_region
40154896,tnf-α,Cytokine
40154896,post-stroke depression,Disease
40154896,network pharmacology,Evidence
40154896,immunofluorescence,Evidence
40154896,elisa,Evidence
40154896,sucrose preference,Experiment_indicator
40154896,tail suspension test,Experiment_indicator
40154896,open field test,Experiment_indicator
40154896,il6,Gene
40154896,tnf,Gene
40154896,creb,Gene
40154896,bdnf,Gene
40154896,bdnf,Neurotransmitter
40154896,5-ht,Neurotransmitter
40154896,dopamine,Neurotransmitter
40154896,da,Neurotransmitter
40154896,ne,Neurotransmitter
40154896,calcium signaling pathway,Pathway
40154896,fluoxetine,Pharmacology
40154896,mice,Species
40154896,rat,Species
40154896,microglia,Species
40154896,mouse,Species
40154896,creb,Target
40154896,bdnf,Target
40154896,pde4d,Target
40382939,il-17,Cytokine
40382939,cancer-related depression,Disease
40382939,depression,Disease
40382939,western blot,Evidence
40382939,qrt-pcr,Evidence
40382939,molecular docking,Evidence
40382939,saikosaponin a,Ingredient
40382939,saikosaponin c,Ingredient
40382939,saikosaponin d,Ingredient
40382939,mouse,Species
40382939,mice,Species
40382939,microglia,Species
40945251,depression,Disease
40945251,network pharmacology,Evidence
40945251,multi-omics,Evidence
40945251,xiaoyao san,Formula
40945251,rat,Species
40945251,hmox1,Target
40945251,gpx4,Target
37597362,sweating,Adverse_event
37597362,depression,Disease
37597362,danzhi xiaoyao san,Formula
37597362,human,Species
37597362,sweating,Symptom
37597362,liver qi stagnation,Syndrome
37597362,blood deficiency,Syndrome
39197805,powder,Administration
39197805,depression,Disease
39197805,network pharmacology,Evidence
39197805,molecular docking,Evidence
39197805,danzhi xiaoyao san,Formula
39197805,akt1,Gene
39197805,mapk1,Gene
39197805,erk1,Gene
39197805,senkyunolide a,Ingredient
39197805,atractylenolide iii,Ingredient
39197805,corticosterone,Neurotransmitter
39197805,mice,Species
39197805,akt1,Target
39197805,mapk1,Target
39197805,erk1/2,Target
41061289,hippocampus,Brain_region
41061289,il-6,Cytokine
41061289,il-1β,Cytokine
41061289,postpartum depression,Disease
41061289,network pharmacology,Evidence
41061289,molecular docking,Evidence
41061289,elisa,Evidence
41061289,immunofluorescence,Evidence
41061289,sucrose preference,Experiment_indicator
41061289,open field test,Experiment_indicator
41061289,xiaoyao san,Formula
41061289,guipi tang,Formula
41061289,rat,Species
41061289,rats,Species
41061289,bcl2,Target
41061289,jnk,Target
41061289,il-6,Target
41061289,il-1β,Target
39515106,anxiety,Adverse_event
39515106,hippocampus,Brain_region
39515106,depression,Disease
39515106,anxiety,Disease
39515106,food intake,Experiment_indicator
39515106,anxiety,Symptom
37632305,depression,Disease
37632305,controlled clinical trial,Evidence
37632305,placebo-controlled trial,Evidence
37632305,network pharmacology,Evidence
37632305,metabolomics,Evidence
37632305,molecular docking,Evidence
37632305,quercetin,Ingredient
37632305,luteolin,Ingredient
37632305,serotonin,Neurotransmitter
34968660,depression,Disease
34968660,systematic review,Evidence
34968660,meta-analysis,Evidence
34968660,soothing liver,Tcm_therapy
34968660,invigorating spleen,Tcm_therapy
34968660,clearing heat,Tcm_therapy
39687683,powder,Administration
39687683,hippocampus,Brain_region
39687683,il-1β,Cytokine
39687683,il-6,Cytokine
39687683,depression,Disease
39687683,immunofluorescence,Evidence
39687683,nlrp3,Gene
39687683,acth,Neurotransmitter
39687683,corticosterone,Neurotransmitter
39687683,mice,Species
39687683,rats,Species
39687683,microglia,Species
39687683,il-1β,Target
39687683,il-6,Target
39687683,nlrp3,Target
38375048,il-1β,Cytokine
38375048,il-6,Cytokine
38375048,depression,Disease
38375048,metabolomics,Evidence
38375048,network pharmacology,Evidence
38375048,open field test,Experiment_indicator
38375048,xiaoyao san,Formula
38375048,tnf,Gene
38375048,rage signaling pathway,Pathway
38375048,hif-1 signaling pathway,Pathway
38375048,calcium signaling pathway,Pathway
38375048,venlafaxine,Pharmacology
38375048,rat,Species
38375048,rats,Species
38375048,il-1β,Target
38375048,il-6,Target
38628641,depression,Disease
41273446,prefrontal cortex,Brain_region
41273446,il-1β,Cytokine
41273446,il-10,Cytokine
41273446,depression,Disease
41273446,sucrose preference,Experiment_indicator
41273446,tail suspension test,Experiment_indicator
41273446,open field test,Experiment_indicator
41273446,xiaoyao san,Formula
41273446,nlrp3,Gene
41273446,mice,Species
41273446,microglia,Species
41273446,anhedonia,Symptom
41273446,nlrp3,Target
41273446,il-1β,Target
41273446,gsdmd,Target
40541752,hippocampus,Brain_region
40541752,post-stroke depression,Disease
40541752,depression,Disease
40541752,protocol,Evidence
40541752,elisa,Evidence
40541752,network pharmacology,Evidence
40541752,metabolomics,Evidence
40541752,flow cytometry,Evidence
40541752,western blot,Evidence
40541752,immunofluorescence,Evidence
40541752,sucrose preference,Experiment_indicator
40541752,open field test,Experiment_indicator
40541752,forced swim test,Experiment_indicator
40541752,danzhi xiaoyao san,Formula
40541752,nf-κb signaling pathway,Pathway
40541752,rats,Species
40541752,rat,Species
40541752,microglia,Species
41225027,prefrontal cortex,Brain_region
41225027,depression,Disease
41225027,network pharmacology,Evidence
41225027,xiaoyao san,Formula
41225027,atractylenolide i,Ingredient
41225027,ferulic acid,Ingredient
41225027,kaempferol,Ingredient
41225027,quercetin,Ingredient
41225027,atractylenolide ii,Ingredient
41225027,z-ligustilide,Ingredient
41225027,paeoniflorin,Ingredient
41225027,saikosaponin a,Ingredient
41225027,atractylenolide iii,Ingredient
41225027,glycyrrhizic acid,Ingredient
41225027,mouse,Species
41225027,microglial cell,Species
41225027,mice,Species
41225027,jnk,Target
37808199,anxiety,Adverse_event
37808199,insomnia,Adverse_event
37808199,il-6,Cytokine
37808199,tnf-α,Cytokine
37808199,depression,Disease
37808199,anxiety,Disease
37808199,meta-analysis,Evidence
37808199,network pharmacology,Evidence
37808199,molecular docking,Evidence
37808199,tnf,Gene
37808199,akt1,Gene
37808199,stigmasterol,Ingredient
37808199,serotonin,Neurotransmitter
37808199,norepinephrine,Neurotransmitter
37808199,nf-κb signaling pathway,Pathway
37808199,anxiety,Symptom
37808199,insomnia,Symptom
37808199,il-6,Target
37808199,pik3r1,Target
37808199,mapk3,Target
37808199,akt1,Target
40998134,depression,Disease
40998134,network pharmacology,Evidence
40998134,metabolomics,Evidence
40998134,xiaoyao san,Formula
40998134,glutamate,Neurotransmitter
40998134,mouse,Species
40998134,mice,Species
29808808,anxiety,Adverse_event
29808808,hypothalamus,Brain_region
29808808,depression,Disease
29808808,anxiety,Disease
29808808,xiaoyao san,Formula
29808808,ferulic acid,Ingredient
29808808,ligustilide,Ingredient
29808808,atractylenolide i,Ingredient
29808808,atractylenolide ii,Ingredient
29808808,paeoniflorin,Ingredient
29808808,albiflorin,Ingredient
29808808,liquiritin,Ingredient
29808808,glycyrrhizic acid,Ingredient
29808808,anxiety,Symptom
37562092,anxiety,Adverse_event
37562092,depression,Disease
37562092,anxiety,Disease
37562092,meta-analysis,Evidence
37562092,food intake,Experiment_indicator
37562092,xiaoyao san,Formula
37562092,glutamate,Neurotransmitter
37562092,tension,Symptom
37562092,anxiety,Symptom
41724290,anxiety,Adverse_event
41724290,depression,Disease
41724290,anxiety,Disease
41724290,qrt-pcr,Evidence
41724290,western blot,Evidence
41724290,network pharmacology,Evidence
41724290,molecular docking,Evidence
41724290,chaihu shugan san,Formula
41724290,glycyrrhizic acid,Ingredient
41724290,naringin,Ingredient
41724290,naringenin,Ingredient
41724290,mouse,Species
41724290,mice,Species
41724290,anxiety,Symptom
21933701,depression,Disease
21933701,meta-analysis,Evidence
21933701,fluoxetine,Pharmacology
21933701,paroxetine,Pharmacology
21933701,doxepin,Pharmacology
33629558,intragastric administration,Administration
33629558,hippocampus,Brain_region
33629558,depression,Disease
33629558,elisa,Evidence
33629558,western blot,Evidence
33629558,open field test,Experiment_indicator
33629558,sucrose preference,Experiment_indicator
33629558,ganmai dazao tang,Formula
33629558,serotonin,Neurotransmitter
33629558,5-ht,Neurotransmitter
33629558,norepinephrine,Neurotransmitter
33629558,ne,Neurotransmitter
33629558,fluoxetine,Pharmacology
33629558,rats,Species
38941409,depression,Disease
38941409,systematic review,Evidence
38941409,meta-analysis,Evidence
38941409,mendelian randomization,Evidence
38941409,amitriptyline,Pharmacology
18343064,depression,Disease
18343064,tail suspension test,Experiment_indicator
18343064,locomotor activity,Experiment_indicator
18343064,fluoxetine,Pharmacology
18343064,imipramine,Pharmacology
18343064,mice,Species
36844911,Angelicae sinensis radix,Herb
36844911,hippocampus,Brain_region
36844911,depression,Disease
36844911,xiaoyao san,Formula
36844911,danggui shaoyao san,Formula
36844911,bdnf,Gene
36844911,paeoniflorin,Ingredient
36844911,bdnf,Neurotransmitter
36844911,mice,Species
36844911,bdnf,Target
41485625,il-1β,Cytokine
41485625,tnf-α,Cytokine
41485625,il-6,Cytokine
41485625,il-18,Cytokine
41485625,il-10,Cytokine
41485625,depression,Disease
