id,type,name
H0718,Herb,Bletilla striata
H0627,Herb,Siegesbeckia orientalis
H0666,Herb,Triticum aestivum
H1189,Herb,Radix et rhizoma rhodiolae
H0678,Herb,Magnolia liliflora
H0873,Herb,Melia toosendan
H0972,Herb,Rehmannia glutinosa
H1219,Herb,Arachis hypogaea
H1241,Herb,Coptis chinensis
H0784,Herb,Paeonia obovata
H0619,Herb,Lespedeza virgata
Herb ID,Herb,Latin_name
H1224,Herb,Sophora japonica
H0929,Herb,Caulis sargentodoxae
H0804,Herb,Citrus aurantium
H1251,Herb,Scutellaria baicalensis
H1211,Herb,Gerbera piloselloides
H0912,Herb,Eleutherococcus senticosus
H1037,Herb,Pueraria thomsonii
H0996,Herb,Atalantia buxifolia
H1032,Herb,Eriocheir sinensis seu poramon
H0670,Herb,Litsea rotundifolia
H0643,Herb,Musa paradisiaca var. sapientum
H0691,Herb,Saussurea involucrata
H0910,Herb,Eleutherococcus senticosus
H1018,Herb,Amomum kravanh
H1231,Herb,Phellodendron amurense
H0854,Herb,Campsis grandiflora
H0764,Herb,Houttuynia cordata
H0701,Herb,Juniperus formosana
H1203,Herb,Viscum coloratum
H1111,Herb,Trichosanthes kirilowii
H0907,Herb,Corium erinacei seu hemiechianus
H0962,Herb,Canavalia gladiata
H0743,Herb,Alpinia oxyphylla
H0900,Herb,Ailanthus altissima
H1023,Herb,Hedyotis auricularia
H1053,Herb,Wolfiporia cocos
H0832,Herb,Ardisia crenata
H0955,Herb,Angelica sinensis
H0980,Herb,Sanguisorba officinalis
H0820,Herb,Rhizoma paridis
H0945,Herb,Aconitum carmichaeli
H0884,Herb,Radix aconiti
H0684,Herb,Cynanchum paniculatum
H0675,Herb,Magnolia liliflora
H1169,Herb,Nelumbo nucifera
H0757,Herb,Papaver somniferum
H0587,Herb,Concha arcae
H1002,Herb,Ilex chinensis
H1212,Herb,Quercus dentata
H0601,Herb,Prunus mume
H0892,Herb,Cnidium officinale
H0628,Herb,Siegesbeckiae herba
H0905,Herb,Rosa roxburghii
H1190,Herb,Herba lagotidis
H0681,Herb,Conyza blinii
H1175,Herb,Semen glycine max
H1221,Herb,Platycarya strobilacea
H1131,Herb,Plastrum testudinis
H1099,Herb,Uncaria rhynchophylla
H1138,Herb,Thlaspi arvense
H0756,Herb,Papaver somniferum
H0707,Herb,Daphne genkwa
H0944,Herb,Glycine max
H0645,Herb,Elephas maximus
H0959,Herb,Rhizoma codonopsis pilosulae
H0732,Herb,Melastoma candidum
H1054,Herb,Exodermis poria
H1209,Herb,Succinus
H1216,Herb,Ophicalcitum
H1144,Herb,Liquidambar formosana
H0687,Herb,Rhizoma corydalis
H0725,Herb,Cassia angustifolia
H0924,Herb,Pericarpium arecae
H0788,Herb,Cinnamomum camphora
H0798,Herb,Phyllanthus urinaria
H1172,Herb,Radix aconiti kusnezoffii
H0827,Herb,Hypocrella bambusae
H0825,Herb,Poria cocos
H0871,Herb,Dipsacus asper
H1120,Herb,Pogostemon cablin
H0838,Herb,Rhizoma panacis majoris
H1017,Herb,Eucommia ulmoides
H0634,Herb,Agrimonia pilosa var. japonica
H1069,Herb,Glycyrrhiza uralensis
H0738,Herb,Kadsura heteroclita
H0936,Herb,Halitum
H1056,Herb,Rubus idaeus
H1063,Herb,Aconitum carmichaeli
H0896,Herb,Morinda officinalis
H1010,Herb,Pogostemon cablin
H0865,Herb,Piper hancei
H0808,Herb,Oleum sesami
H0677,Herb,Bufo melanostictus
H0582,Herb,Alpinia katsumadai
H0857,Herb,Trachycarpus fortunei
H0644,Herb,Cymbopogon citratus
H0755,Herb,Rhododendron mucronulatum
H0921,Herb,Dysosma versipellis
H1156,Herb,Rehmannia glutinosa
H1140,Herb,Entada phaseoloides
H0752,Herb,Epimedium brevicornum
H0694,Herb,Aristolochia mollissima
H0613,Herb,Artemisia princeps
H0654,Herb,Ligum cinnamomi camphorae
H0772,Herb,Rosa chinensis
H1076,Herb,Radix glycyrrhizae uralensis
H0882,Herb,Rhizoma dioscoreae nipponicae
H1086,Herb,Cleome gynandra
H0728,Herb,Zingiber cassumunar
H0733,Herb,Crataegus pinnatifida
H0602,Herb,Prunus mume
H0923,Herb,Blumea balsamifera
H0953,Herb,Rhizoma arisaema cum bile
H0851,Herb,Fructus perillae
H0767,Herb,Rhizoma corydalis
H1049,Herb,Liquidambar formosana
H0891,Herb,Andrographis herba
H1121,Herb,Tribulus terrestris
H0859,Herb,Fritillaria cirrhosa
H0664,Herb,Cirsium arvense
H0704,Herb,Phellodendron amurense
H0742,Herb,Aquilaria agallocha
H1124,Herb,Desmodium styracifolium
H0807,Herb,Strychnos nux-vomica
H0665,Herb,Bupleurum chinense
H1151,Herb,Ilex chinensis
H0949,Herb,Salvia miltiorrhiza
H0810,Herb,Arisaema consanguineum
H0676,Herb,Magnolia liliflora
H0611,Herb,Lindera strychnifolia
H0614,Herb,Ipomoea cairica
H0652,Herb,Citrus medica
H1092,Herb,Alpinia officinarum
H1122,Herb,Folium pogostemonis
H0922,Herb,Radix heraclei maximi
H1181,Herb,Sesamum indicum
H0790,Herb,Cinnamomum camphora
H1067,Herb,Glycyrrhiza uralensis
H0919,Herb,Selaginella uncinata
H0843,Herb,Fritillaria unibracteata
H0930,Herb,Herba cirsii japonici
H1070,Herb,Glycyrrhiza uralensis
H1007,Herb,Glycine max
H0963,Herb,Achyranthes aspera
H0680,Herb,Conyza blinii
H1044,Herb,Pteris multifida
H1031,Herb,Anisomeles indica
H0990,Herb,Syzygium aromaticum
H0946,Herb,Ferula assafoetida
H1159,Herb,Calcitum
H0783,Herb,Lycopi Herba
H1228,Herb,Phellodendron amurense
H0893,Herb,Cnidium officinale
H1059,Herb,Poria
H0931,Herb,Herba cirsii japonici
H0633,Herb,Corydalis decumbens
H0909,Herb,Eleutherococcus senticosus
H1030,Herb,Saposhnikovia divaricata
H1254,Herb,Scutellaria baicalensis
H0598,Herb,Trogopterus xanthipes
H0741,Herb,Solidago decurrens
H1033,Herb,Stephania tetrandra
H0723,Herb,Caro caprae seu ovis
H1060,Herb,Citrus medica var. sarcodactylis
H0898,Herb,Sedum sarmentosum
H0775,Herb,Polysaccharidum versicolor
H0821,Herb,Laggera pterodonta
H0978,Herb,Urena lobata
H1016,Herb,Eucommia ulmoides
H0719,Herb,Pericarpium citri reticulatae
H0947,Herb,Zanthoxylum echinocarpum
H0917,Herb,Carapax trionycis
H0758,Herb,Citrus aurantium
H1132,Herb,Colla carapacis et plastri testudinis
H1149,Herb,Lygodium japonicum
H1243,Herb,Coptis chinensis
H0689,Herb,Ventilago leiocarpa
H0937,Herb,Isatis indigotica
H0762,Herb,Prunus japonica
H0686,Herb,Flos inulae
H0802,Herb,Citrus aurantium
H1142,Herb,Millettia dielsiana
H0925,Herb,Areca catechu
H1128,Herb,Patrinia villosa
H0657,Herb,Herba plantaginis minutae
H1230,Herb,Phellodendron amurense
H0722,Herb,Elaeagnus pungens
H0879,Herb,Radix cudraniae
H0721,Herb,Myrica rubra
H0904,Herb,Tribulus terrestris
H0833,Herb,Aristolochia kaempferi
H1207,Herb,Sesamum indicum
H1199,Herb,Damnacanthus indicus
H0739,Herb,Coix lacryma- jobi var. ma - yuen
H1035,Herb,Wolfiporia cocos
H0943,Herb,Mytilus edulis
H0956,Herb,Angelica sinensis
H0823,Herb,Crassum intestinum porci
H0800,Herb,Margarita
H1028,Herb,Cassia angustifolia
H0888,Herb,Croton tiglium
H0663,Herb,Cirsium setosum
H0639,Herb,Isodon amethystoides
H1136,Herb,Oleum corticis cinnamomi
H0826,Herb,Clerodendrum bungei
H0964,Herb,Juncus effusus
H0895,Herb,Curcuma longa
H0777,Herb,Gleditsia sinensis
H0903,Herb,Capsella bursa-pastoris
H0724,Herb,Radix rumicis japonici
H0780,Herb,Ziziphus jujuba mill. var. inermis (bge.) rehd.
H1191,Herb,Radix ginseng rubra
H0750,Herb,Ginkgo biloba
H1157,Herb,Herba ecliptae prostratae
H1164,Herb,Nelumbo nucifera
H0650,Herb,Bupleurum chinense
H0878,Herb,Croton tiglium
H0699,Herb,Acorus calamus
H1073,Herb,Glycyrrhiza uralensis
H1108,Herb,Trichosanthes kirilowii
H0586,Herb,Concha arcae
H1061,Herb,Lilium brownii
H0847,Herb,Homo sapiens
H1148,Herb,Lygodium japonicum
H1206,Herb,Lagenaria siceraria
H0870,Herb,Cortex eucommiae
H0982,Herb,Stemona tuberosa
H1161,Herb,Chrysanthemum morifolium
H0957,Herb,Embelia parviflora
H1226,Herb,Rhizoma dioscoreae
H0940,Herb,Callicarpa macrophylla
H0693,Herb,Daemonorops draco
H0987,Herb,Stemona tuberosa
H0860,Herb,Trachycarpus fortunei
H0979,Herb,Sanguisorba officinalis
H0848,Herb,Ardisia japonica
H1097,Herb,Syzygium aromaticum
H0585,Herb,Artemisia capillaris
H0647,Herb,Elsholtzia splendens
H0695,Herb,Brucea javanica
H0715,Herb,Plantago asiatica
H0674,Herb,Magnolia liliflora
H1238,Herb,Polygonatum sibiricum
H1244,Herb,Taraxacum mongolicum
H0637,Herb,Camellia sinensis
H0580,Herb,Cuscuta australis
H1083,Herb,Caro verci
H1047,Herb,Liquidambar formosana
H0623,Herb,Stigma croci
H0763,Herb,Zea mays
H0607,Herb,Schisandra chinensis
H1174,Herb,Glycine max
H1171,Herb,Terminalia chebula
H1105,Herb,Trichosanthes kirilowii
H0726,Herb,Atropa belladonna
H0706,Herb,Corydalis yanhusuo
H0625,Herb,Platycladus orientalis
H0661,Herb,Phaseolus vulgaris
H0651,Herb,Citrus medica
H1101,Herb,Ardisiae japonicae
H0709,Herb,Dichroa febrifuga
H0928,Herb,Rheum officinale
H0747,Herb,Styrax benzoin
H0874,Herb,Dioscorea nipponica
H1240,Herb,Vitex negundo
H0786,Herb,Cinnamomum camphora
H0653,Herb,Cinnamomum parthenoxylum
H0877,Herb,Cyathula officinalis
H1106,Herb,Trichosanthes kirilowii
H0679,Herb,Prunus armeniaca
H0845,Herb,Salvia przewalskii var. mandarinorum
H0779,Herb,Gleditsia sinensis
H0621,Herb,Citrullus lanatus
H1179,Herb,Breynia fruticosa
H0744,Herb,Stellaria dichotoma var. lanceolata
H0911,Herb,Illicium verum
H1019,Herb,Centipeda minima
H1201,Herb,Saxifraga stolonifera
H0588,Herb,Fructus tsaoko
H0748,Herb,Triticum aestivum
H0920,Herb,Lobelia chinensis
H0939,Herb,Sargentodoxa cuneata
H1147,Herb,Lygodium japonicum
H1184,Herb,Ampelopsis japonica
H0631,Herb,Panax quinquefolium
H0591,Herb,Potentilla chinensis
H0950,Herb,Salvia miltiorrhiza
H1188,Herb,Carthamus tinctorius
H0983,Herb,Atropa belladonna
H0822,Herb,Elsholtzia splendens
H1182,Herb,Nigella damascena
H1245,Herb,Cynanchum stauntonii
H0915,Herb,Allium fistulosum
H0711,Herb,Daphne genkwa
H0624,Herb,Succinus
H1233,Herb,Prismatomeris tetrandra
H1025,Herb,Potentilla discolor
H0992,Herb,Oleum ocimi gratissimi
H0899,Herb,Sedum sarmentosum
H0872,Herb,Coptis chinensis
H1112,Herb,Trichosanthes kirilowii
H0770,Herb,Polygala tenuifolia
H0581,Herb,Cuscuta australis
H0731,Herb,Rosa canina
H0636,Herb,Curculigo orchioides
H0620,Herb,Citrullus vulgaris
H0702,Herb,Bergenia purpurascens
H0599,Herb,Trogopterus xanthipes
H0997,Herb,Atalantia buxifolia
H0629,Herb,Asarum sieboldii
H0734,Herb,Phyllanthus urinaria
H0746,Herb,Artemisia capillaris
H0875,Herb,Clematidis armandii caulis
H1078,Herb,Bufo melanostictus
H0883,Herb,Belamcanda chinensis
H0986,Herb,Onosma paniculatum
H1055,Herb,Ginkgo biloba
H0759,Herb,Fructus phyllanthi
H1186,Herb,Salvia prionitis
H0829,Herb,Anemone raddeana
H1068,Herb,Lilium brownii
H0811,Herb,Scorpio preparata
H0791,Herb,Pinellia pedatisecta
H0814,Herb,Radix polygoni multiflori preparata
H1066,Herb,Glycyrrhiza uralensis
