source,source_type,target,target_type,relation
H0629,Herb,Sesamin,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Methyleugenol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Sesamol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Eugenol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Eucalyptol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Naphthalene,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Carvacrol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Safrole,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Paraben,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Aristolochic Acid,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Atenolol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Nifedipine,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Thymol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Paeonol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Gefitinib,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Camphor,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Naringenin,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Terpineol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Limonene,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,?-Pinene,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One",Ingredient,CONTAINS_INGREDIENT
H0629,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H0629,Herb,"1-(4-Hydroxy-Benzyl)-1,2,3,4-Tetrahydro-Isoquinoline-6,7-Diol",Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Linalool,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Vanillin,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Citronellol,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Thymol,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Oleic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Chrysophanol,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Methyleugenol,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Caffeic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Octanoic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Z-Butylidenephthalide,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Ligustilide,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,(4-Prop-1-En-2-Ylcyclohexen-1-Yl)Methanol,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Protocatechuic Acid,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Terpineol,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Uracil,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Butylphthalide,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Senkyunolide,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Choline Chloride,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Chuanxiongzine,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Alpha-Humulone,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,"Methyl Hexadecanate,Methyl Palmitate",Ingredient,CONTAINS_INGREDIENT
H0892,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H0892,Herb,"3(S)-3-Butyl-4,5-Dihydrophthalide",Ingredient,CONTAINS_INGREDIENT
H1044,Herb,Salicylic Acid,Ingredient,CONTAINS_INGREDIENT
H0985,Herb,Vitexin,Ingredient,CONTAINS_INGREDIENT
H0985,Herb,Coumaric Acid,Ingredient,CONTAINS_INGREDIENT
H0710,Herb,Sesamin,Ingredient,CONTAINS_INGREDIENT
H0710,Herb,Arctigenin,Ingredient,CONTAINS_INGREDIENT
H0710,Herb,Tiliroside,Ingredient,CONTAINS_INGREDIENT
H0710,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H0710,Herb,Lupeol,Ingredient,CONTAINS_INGREDIENT
H0710,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0710,Herb,Benzoic Acid,Ingredient,CONTAINS_INGREDIENT
