id,type
35168522,Paper
37143014,Paper
37248211,Paper
34446530,Paper
40466510,Paper
36948325,Paper
39648209,Paper
39426604,Paper
42088582,Paper
27693978,Paper
38262525,Paper
28807166,Paper
34551699,Paper
32457610,Paper
39620153,Paper
28925891,Paper
36949321,Paper
38983910,Paper
36969689,Paper
41163407,Paper
37159675,Paper
33116523,Paper
9646895,Paper
35496318,Paper
39253375,Paper
41100813,Paper
40018358,Paper
37631092,Paper
36873772,Paper
36682244,Paper
31370200,Paper
25183301,Paper
24697344,Paper
40515694,Paper
35152089,Paper
40374592,Paper
34225013,Paper
39528081,Paper
33466877,Paper
37930334,Paper
30396632,Paper
40033393,Paper
41437027,Paper
38808079,Paper
31780032,Paper
32147048,Paper
39701700,Paper
37255171,Paper
40785662,Paper
34636498,Paper
19507266,Paper
36791924,Paper
36921619,Paper
36529248,Paper
37897838,Paper
34049476,Paper
38306565,Paper
24761171,Paper
39157399,Paper
34623754,Paper
35232229,Paper
34840949,Paper
28851961,Paper
39140625,Paper
33324063,Paper
30963358,Paper
38694562,Paper
37802855,Paper
38152691,Paper
41015814,Paper
36698870,Paper
36774722,Paper
40154896,Paper
40382939,Paper
40945251,Paper
37597362,Paper
39197805,Paper
41061289,Paper
39515106,Paper
37632305,Paper
34968660,Paper
39687683,Paper
38375048,Paper
38628641,Paper
41273446,Paper
40541752,Paper
41225027,Paper
37808199,Paper
40998134,Paper
29808808,Paper
37562092,Paper
41724290,Paper
21933701,Paper
33629558,Paper
38941409,Paper
18343064,Paper
36844911,Paper
41485625,Paper
30841419,Paper
40127829,Paper
30687098,Paper
39957155,Paper
36536902,Paper
33825416,Paper
40179998,Paper
36039087,Paper
41802506,Paper
35111057,Paper
24015243,Paper
36545317,Paper
20673169,Paper
37924576,Paper
36279723,Paper
37751044,Paper
35190952,Paper
38633609,Paper
24914308,Paper
24486208,Paper
40969945,Paper
31781287,Paper
37664720,Paper
40912487,Paper
35906133,Paper
34391441,Paper
29728023,Paper
36339629,Paper
29864926,Paper
38451006,Paper
37263314,Paper
38551057,Paper
29863014,Paper
21791239,Paper
39295891,Paper
25210314,Paper
32923002,Paper
42266144,Paper
31022598,Paper
15642599,Paper
34385814,Paper
40686183,Paper
22019334,Paper
36099982,Paper
41894346,Paper
40028110,Paper
39603396,Paper
39512328,Paper
26889228,Paper
34467737,Paper
25422553,Paper
21368416,Paper
24137289,Paper
32185198,Paper
29843044,Paper
33167098,Paper
41038327,Paper
25427198,Paper
32348951,Paper
41727502,Paper
23947143,Paper
29217494,Paper
27413389,Paper
41047379,Paper
37295570,Paper
37277081,Paper
38675471,Paper
22414105,Paper
41547067,Paper
36408279,Paper
35462897,Paper
40427467,Paper
40708436,Paper
37844745,Paper
32178272,Paper
41780614,Paper
35881212,Paper
40682677,Paper
38074876,Paper
38631487,Paper
31911246,Paper
39637473,Paper
41794258,Paper
39094756,Paper
31328996,Paper
40816588,Paper
38972528,Paper
22196583,Paper
36046834,Paper
35088681,Paper
40453654,Paper
36278199,Paper
37764277,Paper
34334273,Paper
38572433,Paper
40716620,Paper
35847012,Paper
40348996,Paper
38217462,Paper
35589704,Paper
39701046,Paper
36574791,Paper
34900345,Paper
40077679,Paper
39971013,Paper
41139445,Paper
34049474,Paper
35924058,Paper
35143936,Paper
41033421,Paper
40657643,Paper
32810624,Paper
22450800,Paper
24974002,Paper
41115486,Paper
33069838,Paper
37315645,Paper
37745719,Paper
25719303,Paper
37258428,Paper
41218379,Paper
38479544,Paper
41237868,Paper
35098831,Paper
37925093,Paper
41213440,Paper
40907728,Paper
40290440,Paper
36676679,Paper
36873540,Paper
38113631,Paper
37948105,Paper
38851983,Paper
40403895,Paper
40906192,Paper
38850305,Paper
32754030,Paper
40506009,Paper
34979889,Paper
37944872,Paper
37612866,Paper
41242308,Paper
39408591,Paper
38457106,Paper
40881230,Paper
40769438,Paper
36604883,Paper
33120798,Paper
40134975,Paper
25821499,Paper
39367470,Paper
40945253,Paper
40727849,Paper
31259837,Paper
29907576,Paper
41376232,Paper
36867647,Paper
39247617,Paper
37015141,Paper
35960108,Paper
27774110,Paper
41074408,Paper
31016194,Paper
35910879,Paper
37068818,Paper
37266323,Paper
40753796,Paper
35926637,Paper
29454341,Paper
40469980,Paper
40778325,Paper
39323936,Paper
15010661,Paper
29540339,Paper
38449668,Paper
38915473,Paper
40195969,Paper
39319351,Paper
32765632,Paper
34369698,Paper
38726147,Paper
36951085,Paper
35089211,Paper
41409594,Paper
38026979,Paper
36316904,Paper
35244051,Paper
34490139,Paper
36126781,Paper
39241390,Paper
38296172,Paper
34627986,Paper
38490155,Paper
39385284,Paper
38815404,Paper
40547671,Paper
39467428,Paper
40550295,Paper
40425078,Paper
39770479,Paper
39904199,Paper
36045534,Paper
40481474,Paper
34976096,Paper
40803031,Paper
39486672,Paper
38704913,Paper
41307677,Paper
35717786,Paper
41045619,Paper
36440424,Paper
36431060,Paper
40617360,Paper
34447243,Paper
41164411,Paper
40621015,Paper
37657207,Paper
40221743,Paper
35003290,Paper
39041272,Paper
35230627,Paper
38582152,Paper
41101552,Paper
36560929,Paper
41448368,Paper
34880597,Paper
41189264,Paper
39263345,Paper
36070047,Paper
41015074,Paper
40915371,Paper
38007768,Paper
38174416,Paper
37847347,Paper
41377151,Paper
39684318,Paper
38004472,Paper
40157401,Paper
34471414,Paper
40816580,Paper
38218856,Paper
41391369,Paper
40064322,Paper
41763619,Paper
40231535,Paper
40910010,Paper
40740639,Paper
39884598,Paper
32256358,Paper
depression,Disease
major depressive disorder,Disease
post-stroke depression,Disease
postpartum depression,Disease
human,Species
anxiety,Disease
systematic review,Evidence
meta-analysis,Evidence
clinical trial,Evidence
anxiety,Symptom
hopelessness,Symptom
insomnia,Symptom
st36,Acupoint
sucrose preference,Experiment_indicator
tail suspension test,Experiment_indicator
astrocyte,Species
mice,Species
controlled clinical trial,Evidence
tnf,Pathway
il-1β,Target
ht7,Acupoint
pc6,Acupoint
sp6,Acupoint
lr3,Acupoint
randomized controlled trial,Evidence
paeoniflorin,Ingredient
hypericin,Ingredient
rats,Species
bdnf,Target
patient,Species
literature review,Evidence
narrative review,Evidence
gv20,Acupoint
metabolomics,Evidence
neuroactive ligand-receptor interaction,Pathway
jiuwei zhenxin granules,Formula
mood disorder,Disease
sadness,Symptom
loss of interest,Symptom
network pharmacology,Evidence
xiaochaihu decoction,Formula
perimenopausal depression,Disease
depressive disorder,Disease
protocol,Evidence
camp,Pathway
ampk,Pathway
rat,Species
il-6,Target
basic research,Evidence
calcium signaling pathway,Pathway
hpa axis,Pathway
tryptophan metabolism,Pathway
p2x7r,Target
nlrp3,Target
subthreshold depression,Disease
scoping review,Evidence
baweixiaoyaosan,Formula
jun,Target
bl18,Acupoint
open field test,Experiment_indicator
qualitative study,Evidence
anhedonia,Symptom
stat3,Target
gsk3β,Target
mouse,Species
creb,Target
cancer-related depression,Disease
molecular docking,Evidence
saikosaponin a,Ingredient
saikosaponin d,Ingredient
multi-omics,Evidence
xiaoyao san,Formula
danzhi xiaoyao san,Formula
liver qi stagnation,Syndrome
blood deficiency,Syndrome
senkyunolide a,Ingredient
atractylenolide iii,Ingredient
mapk,Pathway
akt1,Target
mapk1,Target
erk1/2,Target
guipi tang,Formula
pi3k-akt,Pathway
jnk,Target
food intake,Experiment_indicator
placebo-controlled trial,Evidence
quercetin,Ingredient
luteolin,Ingredient
hif-1 signaling pathway,Pathway
nlrp3 inflammasome,Pathway
forced swim test,Experiment_indicator
atractylenolide i,Ingredient
ferulic acid,Ingredient
kaempferol,Ingredient
atractylenolide ii,Ingredient
z-ligustilide,Ingredient
glycyrrhizic acid,Ingredient
microglial cell,Species
stigmasterol,Ingredient
jak-stat,Pathway
ligustilide,Ingredient
albiflorin,Ingredient
liquiritin,Ingredient
chaihu shugan san,Formula
naringenin,Ingredient
ganmai dazao tang,Formula
mendelian randomization,Evidence
locomotor activity,Experiment_indicator
Angelicae sinensis radix,Herb
bupleuri radix,Herb
transcriptomics,Evidence
chlorogenic acid,Ingredient
zebrafish,Species
psychomotor retardation,Symptom
proteomics,Evidence
mtor,Pathway
mtor,Target
vegfa,Target
bioinformatics analysis,Evidence
trkb,Target
drd2,Target
irritability,Symptom
yueju wan,Formula
qi stagnation,Syndrome
spleen deficiency,Syndrome
social interaction test,Experiment_indicator
elevated plus maze,Experiment_indicator
serotonergic synapse,Pathway
tlr4,Target
cell line,Species
nobiletin,Ingredient
pharmacokinetic study,Evidence
bdnf-trkb,Pathway
casp3,Target
rela,Target
Glycyrrhizae radix,Herb
liver depression and spleen deficiency,Syndrome
y-maze test,Experiment_indicator
erk-creb,Pathway
hesperidin,Ingredient
nf-kb,Pathway
saikosaponin b2,Ingredient
sinisan,Formula
rutin,Ingredient
Pinelliae rhizoma,Herb
primary neuron,Species
myc,Target
hippocampal neuron,Species
Chuanxiong rhizoma,Herb
blood stasis,Syndrome
Ziziphi spinosae semen,Herb
curcumae radix,Herb
berberine,Ingredient
gardeniae fructus,Herb
moutan cortex,Herb
baicalin,Ingredient
wogonin,Ingredient
adolescent depression,Disease
cyperi rhizoma,Herb
scutellariae radix,Herb
cryptotanshinone,Ingredient
paeoniae radix alba,Herb
fos,Target
formononetin,Ingredient
ginsenoside rb1,Ingredient
pka,Pathway
salvianolic acid b,Ingredient
arachidonic acid metabolism,Pathway
polygalae radix,Herb
hepg2 cell,Species
beta-sitosterol,Ingredient
tp53,Target
curcumin,Ingredient
body weight change,Experiment_indicator
comorbid anxiety and depression,Disease
pc12 cell,Species
weight loss,Symptom
shenling kaixin granules,Formula
grip strength test,Experiment_indicator
fatigue,Symptom
qi deficiency,Syndrome
wuling capsules,Formula
cohort study,Evidence
yin deficiency,Syndrome
late-life depression,Disease
treatment-resistant depression,Disease
erxian decoction,Formula
cross-sectional study,Evidence
shenqi jieyu formula,Formula
cox-2,Target
bl15,Acupoint
bl20,Acupoint
cv4,Acupoint
li4,Acupoint
cv6,Acupoint
ex-hn1,Acupoint
baihe zhimu decoction,Formula
esr1,Target
maoa,Target
919 syrup,Formula
Astragali radix,Herb
slc6a3,Target
htr1a,Target
gabra1,Target
cynaroside,Ingredient
egf,Target
hsp90aa1,Target
ppar-γ,Target
fkbp5,Target
icariin,Ingredient
Phellodendri cortex,Herb
bv2 cell,Species
oprm1,Target
chuanxiong rhizoma,Herb
dopaminergic synapse,Pathway
geniposide,Ingredient
magnolol,Ingredient
honokiol,Ingredient
gabaergic synapse,Pathway
epimedii herba,Herb
verbascoside,Ingredient
xiao-chai-hu-tang,Formula
isorhamnetin,Ingredient
kaiyu zhishen decoction,Formula
shugan wendan decoction,Formula
catechin,Ingredient
yangxin decoction,Formula
dehydrocostus lactone,Ingredient
in vitro study,Evidence
jatrorrhizine,Ingredient
c57bl/6 mouse,Species
prospective study,Evidence
changpu san,Formula
acori tatarinowii rhizoma,Herb
tangeritin,Ingredient
htr2a,Target
