source,source_type,relation,target,target_type
35168522,Paper,MENTIONS,depression,Disease
35168522,Paper,MENTIONS,major depressive disorder,Disease
35168522,Paper,MENTIONS,post-stroke depression,Disease
35168522,Paper,MENTIONS,postpartum depression,Disease
35168522,Paper,MENTIONS,human,Species
37143014,Paper,MENTIONS,post-stroke depression,Disease
37143014,Paper,MENTIONS,anxiety,Disease
37143014,Paper,MENTIONS,depression,Disease
37143014,Paper,MENTIONS,systematic review,Evidence
37143014,Paper,MENTIONS,meta-analysis,Evidence
37143014,Paper,MENTIONS,clinical trial,Evidence
37143014,Paper,MENTIONS,anxiety,Symptom
37143014,Paper,MENTIONS,hopelessness,Symptom
37143014,Paper,MENTIONS,insomnia,Symptom
37248211,Paper,MENTIONS,st36,Acupoint
37248211,Paper,MENTIONS,depression,Disease
37248211,Paper,MENTIONS,major depressive disorder,Disease
37248211,Paper,MENTIONS,sucrose preference,Experiment_indicator
37248211,Paper,MENTIONS,tail suspension test,Experiment_indicator
37248211,Paper,MENTIONS,astrocyte,Species
37248211,Paper,MENTIONS,mice,Species
34446530,Paper,MENTIONS,depression,Disease
34446530,Paper,MENTIONS,systematic review,Evidence
34446530,Paper,MENTIONS,meta-analysis,Evidence
40466510,Paper,MENTIONS,depression,Disease
36948325,Paper,MENTIONS,depression,Disease
36948325,Paper,MENTIONS,major depressive disorder,Disease
36948325,Paper,MENTIONS,controlled clinical trial,Evidence
36948325,Paper,MENTIONS,tnf,Pathway
36948325,Paper,MENTIONS,il-1β,Target
39648209,Paper,MENTIONS,ht7,Acupoint
39648209,Paper,MENTIONS,pc6,Acupoint
39648209,Paper,MENTIONS,sp6,Acupoint
39648209,Paper,MENTIONS,lr3,Acupoint
39648209,Paper,MENTIONS,major depressive disorder,Disease
39648209,Paper,MENTIONS,depression,Disease
39648209,Paper,MENTIONS,randomized controlled trial,Evidence
39426604,Paper,MENTIONS,depression,Disease
39426604,Paper,MENTIONS,major depressive disorder,Disease
42088582,Paper,MENTIONS,depression,Disease
27693978,Paper,MENTIONS,major depressive disorder,Disease
27693978,Paper,MENTIONS,depression,Disease
38262525,Paper,MENTIONS,postpartum depression,Disease
38262525,Paper,MENTIONS,anxiety,Disease
38262525,Paper,MENTIONS,depression,Disease
38262525,Paper,MENTIONS,paeoniflorin,Ingredient
38262525,Paper,MENTIONS,hypericin,Ingredient
38262525,Paper,MENTIONS,rats,Species
38262525,Paper,MENTIONS,anxiety,Symptom
28807166,Paper,MENTIONS,major depressive disorder,Disease
28807166,Paper,MENTIONS,depression,Disease
34551699,Paper,MENTIONS,major depressive disorder,Disease
34551699,Paper,MENTIONS,human,Species
32457610,Paper,MENTIONS,depression,Disease
32457610,Paper,MENTIONS,bdnf,Target
39620153,Paper,MENTIONS,major depressive disorder,Disease
39620153,Paper,MENTIONS,depression,Disease
39620153,Paper,MENTIONS,randomized controlled trial,Evidence
39620153,Paper,MENTIONS,patient,Species
28925891,Paper,MENTIONS,depression,Disease
36949321,Paper,MENTIONS,major depressive disorder,Disease
36949321,Paper,MENTIONS,depression,Disease
36949321,Paper,MENTIONS,literature review,Evidence
38983910,Paper,MENTIONS,depression,Disease
36969689,Paper,MENTIONS,depression,Disease
36969689,Paper,MENTIONS,narrative review,Evidence
41163407,Paper,MENTIONS,gv20,Acupoint
41163407,Paper,MENTIONS,st36,Acupoint
41163407,Paper,MENTIONS,major depressive disorder,Disease
41163407,Paper,MENTIONS,depression,Disease
41163407,Paper,MENTIONS,metabolomics,Evidence
41163407,Paper,MENTIONS,sucrose preference,Experiment_indicator
41163407,Paper,MENTIONS,tail suspension test,Experiment_indicator
41163407,Paper,MENTIONS,neuroactive ligand-receptor interaction,Pathway
41163407,Paper,MENTIONS,mice,Species
37159675,Paper,MENTIONS,gv20,Acupoint
37159675,Paper,MENTIONS,lr3,Acupoint
37159675,Paper,MENTIONS,pc6,Acupoint
37159675,Paper,MENTIONS,sp6,Acupoint
37159675,Paper,MENTIONS,major depressive disorder,Disease
33116523,Paper,MENTIONS,depression,Disease
33116523,Paper,MENTIONS,jiuwei zhenxin granules,Formula
9646895,Paper,MENTIONS,depression,Disease
9646895,Paper,MENTIONS,anxiety,Disease
9646895,Paper,MENTIONS,anxiety,Symptom
35496318,Paper,MENTIONS,depression,Disease
39253375,Paper,MENTIONS,depression,Disease
39253375,Paper,MENTIONS,mood disorder,Disease
41100813,Paper,MENTIONS,depression,Disease
41100813,Paper,MENTIONS,systematic review,Evidence
40018358,Paper,MENTIONS,major depressive disorder,Disease
40018358,Paper,MENTIONS,depression,Disease
37631092,Paper,MENTIONS,major depressive disorder,Disease
37631092,Paper,MENTIONS,depression,Disease
37631092,Paper,MENTIONS,systematic review,Evidence
37631092,Paper,MENTIONS,meta-analysis,Evidence
37631092,Paper,MENTIONS,sadness,Symptom
37631092,Paper,MENTIONS,loss of interest,Symptom
36873772,Paper,MENTIONS,major depressive disorder,Disease
36682244,Paper,MENTIONS,depression,Disease
36682244,Paper,MENTIONS,network pharmacology,Evidence
36682244,Paper,MENTIONS,xiaochaihu decoction,Formula
31370200,Paper,MENTIONS,depression,Disease
31370200,Paper,MENTIONS,major depressive disorder,Disease
31370200,Paper,MENTIONS,systematic review,Evidence
31370200,Paper,MENTIONS,meta-analysis,Evidence
25183301,Paper,MENTIONS,depression,Disease
25183301,Paper,MENTIONS,systematic review,Evidence
24697344,Paper,MENTIONS,major depressive disorder,Disease
24697344,Paper,MENTIONS,depression,Disease
24697344,Paper,MENTIONS,systematic review,Evidence
24697344,Paper,MENTIONS,patient,Species
40515694,Paper,MENTIONS,perimenopausal depression,Disease
35152089,Paper,MENTIONS,depression,Disease
35152089,Paper,MENTIONS,systematic review,Evidence
35152089,Paper,MENTIONS,sadness,Symptom
40374592,Paper,MENTIONS,st36,Acupoint
40374592,Paper,MENTIONS,depression,Disease
40374592,Paper,MENTIONS,mice,Species
40374592,Paper,MENTIONS,bdnf,Target
34225013,Paper,MENTIONS,depressive disorder,Disease
34225013,Paper,MENTIONS,depression,Disease
34225013,Paper,MENTIONS,metabolomics,Evidence
39528081,Paper,MENTIONS,depressive disorder,Disease
39528081,Paper,MENTIONS,depression,Disease
39528081,Paper,MENTIONS,protocol,Evidence
39528081,Paper,MENTIONS,sucrose preference,Experiment_indicator
39528081,Paper,MENTIONS,camp,Pathway
39528081,Paper,MENTIONS,ampk,Pathway
39528081,Paper,MENTIONS,rats,Species
39528081,Paper,MENTIONS,rat,Species
39528081,Paper,MENTIONS,il-6,Target
33466877,Paper,MENTIONS,depression,Disease
37930334,Paper,MENTIONS,depression,Disease
30396632,Paper,MENTIONS,postpartum depression,Disease
30396632,Paper,MENTIONS,depression,Disease
30396632,Paper,MENTIONS,systematic review,Evidence
40033393,Paper,MENTIONS,depression,Disease
40033393,Paper,MENTIONS,basic research,Evidence
40033393,Paper,MENTIONS,protocol,Evidence
40033393,Paper,MENTIONS,calcium signaling pathway,Pathway
40033393,Paper,MENTIONS,hpa axis,Pathway
40033393,Paper,MENTIONS,tryptophan metabolism,Pathway
40033393,Paper,MENTIONS,p2x7r,Target
40033393,Paper,MENTIONS,nlrp3,Target
41437027,Paper,MENTIONS,subthreshold depression,Disease
41437027,Paper,MENTIONS,major depressive disorder,Disease
41437027,Paper,MENTIONS,depression,Disease
41437027,Paper,MENTIONS,randomized controlled trial,Evidence
41437027,Paper,MENTIONS,clinical trial,Evidence
38808079,Paper,MENTIONS,depression,Disease
31780032,Paper,MENTIONS,depression,Disease
31780032,Paper,MENTIONS,systematic review,Evidence
31780032,Paper,MENTIONS,meta-analysis,Evidence
32147048,Paper,MENTIONS,major depressive disorder,Disease
32147048,Paper,MENTIONS,depression,Disease
32147048,Paper,MENTIONS,scoping review,Evidence
39701700,Paper,MENTIONS,depression,Disease
37255171,Paper,MENTIONS,major depressive disorder,Disease
37255171,Paper,MENTIONS,baweixiaoyaosan,Formula
37255171,Paper,MENTIONS,jun,Target
40785662,Paper,MENTIONS,post-stroke depression,Disease
34636498,Paper,MENTIONS,depression,Disease
34636498,Paper,MENTIONS,anxiety,Disease
34636498,Paper,MENTIONS,anxiety,Symptom
19507266,Paper,MENTIONS,depression,Disease
36791924,Paper,MENTIONS,depression,Disease
36921619,Paper,MENTIONS,mood disorder,Disease
36921619,Paper,MENTIONS,depression,Disease
36921619,Paper,MENTIONS,anxiety,Disease
36921619,Paper,MENTIONS,randomized controlled trial,Evidence
36921619,Paper,MENTIONS,anxiety,Symptom
36529248,Paper,MENTIONS,depression,Disease
36529248,Paper,MENTIONS,systematic review,Evidence
37897838,Paper,MENTIONS,major depressive disorder,Disease
37897838,Paper,MENTIONS,depression,Disease
37897838,Paper,MENTIONS,anxiety,Disease
37897838,Paper,MENTIONS,anxiety,Symptom
34049476,Paper,MENTIONS,depression,Disease
38306565,Paper,MENTIONS,depression,Disease
24761171,Paper,MENTIONS,anxiety,Disease
24761171,Paper,MENTIONS,depression,Disease
24761171,Paper,MENTIONS,major depressive disorder,Disease
24761171,Paper,MENTIONS,systematic review,Evidence
24761171,Paper,MENTIONS,anxiety,Symptom
39157399,Paper,MENTIONS,depression,Disease
39157399,Paper,MENTIONS,human,Species
34623754,Paper,MENTIONS,depression,Disease
34623754,Paper,MENTIONS,systematic review,Evidence
35232229,Paper,MENTIONS,gv20,Acupoint
35232229,Paper,MENTIONS,sp6,Acupoint
35232229,Paper,MENTIONS,lr3,Acupoint
35232229,Paper,MENTIONS,bl18,Acupoint
35232229,Paper,MENTIONS,post-stroke depression,Disease
35232229,Paper,MENTIONS,depression,Disease
35232229,Paper,MENTIONS,randomized controlled trial,Evidence
35232229,Paper,MENTIONS,clinical trial,Evidence
34840949,Paper,MENTIONS,major depressive disorder,Disease
