PMID,Title,Abstract,Journal,Year,Authors,DOI,MeshTerms,PublicationTypes,SourceQueries,RetrievedAt
38331979,"Major depressive disorder: hypothesis, mechanism, prevention and treatment.","Worldwide, the incidence of major depressive disorder (MDD) is increasing annually, resulting in greater economic and social burdens. Moreover, the pathological mechanisms of MDD and the mechanisms underlying the effects of pharmacological treatments for MDD are complex and unclear, and additional diagnostic and therapeutic strategies for MDD still are needed. The currently widely accepted theories of MDD pathogenesis include the neurotransmitter and receptor hypothesis, hypothalamic-pituitary-adrenal (HPA) axis hypothesis, cytokine hypothesis, neuroplasticity hypothesis and systemic influence hypothesis, but these hypothesis cannot completely explain the pathological mechanism of MDD. Even it is still hard to adopt only one hypothesis to completely reveal the pathogenesis of MDD, thus in recent years, great progress has been made in elucidating the roles of multiple organ interactions in the pathogenesis MDD and identifying novel therapeutic approaches and multitarget modulatory strategies, further revealing the disease features of MDD. Furthermore, some newly discovered potential pharmacological targets and newly studied antidepressants have attracted widespread attention, some reagents have even been approved for clinical treatment and some novel therapeutic methods such as phototherapy and acupuncture have been discovered to have effective improvement for the depressive symptoms. In this work, we comprehensively summarize the latest research on the pathogenesis and diagnosis of MDD, preventive approaches and therapeutic medicines, as well as the related clinical trials.",Signal transduction and targeted therapy,2024,Cui Lulu; Li Shu; Wang Siman; Wu Xiafang; Liu Yingyu; Yu Weiyang; Wang Yijun; Tang Yong; Xia Maosheng; Li Baoman,10.1038/s41392-024-01738-y,Humans; Major Depressive Disorder; Hypothalamo-Hypophyseal System; Pituitary-Adrenal System,"Journal Article; Review; Research Support, Non-U.S. Gov't",core_tcm_intervention,2026-06-11 17:47:33
35168522,Potential Mechanisms and Clinical Effectiveness of Acupuncture in Depression.,"Major depressive disorder is the most common mental disorder with significant economic burden and limited treatments. Acupuncture has emerged as a promising non-pharmacological treatment for reducing depressive symptoms. However, the potential mechanisms and clinical effectiveness of acupuncture are not fully understood. This review aimed to: (1) summarize the available evidence on the mechanisms and clinical effectiveness of acupuncture for depression, and then (2) compare with pharmacological interventions, guiding future studies. Studies with animal models of depression and patients have shown that acupuncture could increase hippocampal and network neuroplasticity and decrease brain inflammation, potentially to alleviating depressive disorders. Overall clinical studies indicated that acupuncture could relieve primary depression, particularly milder cases, and was helpful in the management of post-stroke depression, pain-related depression, and postpartum depression both as an isolated and adjunct treatment. It was emphasized that acupuncture combined with antidepressant pharmacological treatment not only enhanced the improvement of primary and secondary depressive symptoms but also reduced the side effects of the medical treatment, which is the main cause for high dropout rates with drug treatment. In summary, substantial evidence from animal and human researches supported the beneficial effect of acupuncture in depression. However, most clinical trials of acupuncture were small, and it is unclear whether their findings can be generalized, so more studies are needed.",Current neuropharmacology,2022,Yang Na-Na; Lin Lu-Lu; Li Yue-Jie; Li Hong-Ping; Cao Yan; Tan Chun-Xia; Hao Xiao-Wan; Ma Si-Ming; Wang Lu; Liu Cun-Zhi,10.2174/1570159X19666210609162809,Acupuncture Therapy; Antidepressive Agents; Depression; Major Depressive Disorder; Female; Humans; Treatment Outcome,Journal Article; Review,clinical_subtypes; core_tcm_intervention,2026-06-11 17:47:33
37143014,Acupuncture for post-stroke depression: a systematic review and network meta-analysis.,"Patients with post-stroke depression (PSD) usually experience anxiety, hopelessness, and insomnia, which have a negative impact on their daily activities and post-stroke rehabilitation. Acupuncture (AC), as a minimally invasive technique, has become a popular choice for improving depression symptoms. However, it is still unclear which therapy is associated with the best outcomes for PSD. In this review, we aimed to explore the impact of AC in alleviating symptoms of PSD and to evaluate the difference in effectiveness between AC combined with pharmacotherapies and various non-pharmacotherapies. Six databases and three clinical trials registration platforms were searched from inception to March 2023. Randomized clinical trial comparing needle-based AC with pharmacotherapy, and other non-pharmacotherapy or invalid group were included. Two independent reviewers identified eligible studies, and collected data using a pre-made form. A Bayesian network meta-analysis was conducted to assess and compare different techniques using RStudio 3.6.0 with the package 'GEMTC' V.0.8.1. The primary outcome was the efficacy for PSD assessed by scales measuring depressive symptoms. The secondary outcomes were effectiveness for neurological function and the quality of life. The ranking probabilities for all treatment interventions was performed using the Surface Under the Cumulative Ranking curve (SUCRA). The risk of bias was assessed by using the Revised Cochrane Risk of Bias tool 2. Sixty-two studies, involving 5308 participants published from 2003 to 2022, were included. The results showed that compared with western medicine (WM) (defined as pharmacotherapy for PSD), AC alone or with repetitive transcranial magnetic stimulation (RTMS), Traditional Chinese medicine (TCM) alone or with WM, were superior for alleviating depression symptoms. Compared to Usual Care, AC alone or plus other therapies could significantly decrease scores on the Hamilton Depression Rating scale. According to result of SUCRA, AC plus RTMS had the highest probability of improving depressive symptoms with a probability of 49.43%. The results of this study indicate that AC alone or combined with other therapies appears to be effective in improving depression symptoms of stroke survivors. Moreover, in comparison to WM, AC alone or plus RTMS, TCM, TCM with WM, or WM, were more effective in improving depression symptoms of PSD. Also, AC with RTMS seems to be the most effective with the highest probability. This study was registered in the International Prospective Register of Systematic Reviews (PROSPERO) database in November 2020 and updated in July 2021. The registration number is CRD42020218752.",BMC psychiatry,2023,Lam Ching Wai; Li Hui Juan; Guo Jianwen; Yao Liang; Chau Janita; Lo Suzanne; Yuen Chun Sum; Ng Bacon Fung Leung; Chau-Leung Yu Edwin; Bian Zhaoxiang; Lau Alexander Y; Zhong Linda Ld,10.1186/s12888-023-04749-1,Humans; Depression; Bayes Theorem; Quality of Life; Acupuncture Therapy; Stroke; Randomized Controlled Trials as Topic,"Journal Article; Research Support, Non-U.S. Gov't; Systematic Review; Network Meta-Analysis",core_tcm_intervention,2026-06-11 17:47:33
37248211,Electroacupuncture prevents astrocyte atrophy to alleviate depression.,"Astrocyte atrophy is the main histopathological hallmark of major depressive disorder (MDD) in humans and in animal models of depression. Here we show that electroacupuncture prevents astrocyte atrophy in the prefrontal cortex and alleviates depressive-like behaviour in mice subjected to chronic unpredictable mild stress (CUMS). Treatment of mice with CUMS induced depressive-like phenotypes as confirmed by sucrose preference test, tail suspension test, and forced swimming test. These behavioural changes were paralleled with morphological atrophy of astrocytes in the prefrontal cortex, revealed by analysis of 3D reconstructions of confocal Z-stack images of mCherry expressing astrocytes. This morphological atrophy was accompanied by a decrease in the expression of cytoskeletal linker Ezrin, associated with formation of astrocytic leaflets, which form astroglial synaptic cradle. Electroacupuncture at the acupoint ST36, as well as treatment with anti-depressant fluoxetine, prevented depressive-like behaviours, astrocytic atrophy, and down-regulation of astrocytic ezrin. In conclusion, our data further strengthen the notion of a primary role of astrocytic atrophy in depression and reveal astrocytes as cellular target for electroacupuncture in treatment of depressive disorders.",Cell death & disease,2023,Lin Si-Si; Zhou Bin; Chen Bin-Jie; Jiang Ruo-Tian; Li Baoman; Illes Peter; Semyanov Alexey; Tang Yong; Verkhratsky Alexei,10.1038/s41419-023-05839-4,"Humans; Mice; Animals; Depression; Antidepressive Agents; Astrocytes; Major Depressive Disorder; Electroacupuncture; Hippocampus; Atrophy; Disease Models, Animal","Journal Article; Research Support, Non-U.S. Gov't",core_tcm_intervention,2026-06-11 17:47:33
32050990,Neural networks and the anti-inflammatory effect of transcutaneous auricular vagus nerve stimulation in depression.,"Transcutaneous auricular vagus nerve stimulation (taVNS) is a relatively non-invasive alternative treatment for patients suffering from major depressive disorder (MDD). It has been postulated that acupuncture may achieve its treatment effects on MDD through suppression of vagal nerve inflammatory responses. Our previous research established that taVNS significantly increases amygdala-dorsolateral prefrontal cortex connectivity, which is associated with a reduction in depression severity. However, the relationship between taVNS and the central/peripheral functional state of the immune system, as well as changes in brain neural circuits, have not as yet been elucidated. In the present paper, we outline the anatomic foundation of taVNS and emphasize that it significantly modulates the activity and connectivity of a wide range of neural networks, including the default mode network, executive network, and networks involved in emotional and reward circuits. In addition, we present the inflammatory mechanism of MDD and describe how taVNS inhibits central and peripheral inflammation, which is possibly related to the effectiveness of taVNS in reducing depression severity. Our review suggests a link between the suppression of inflammation and changes in brain regions/circuits post taVNS.",Journal of neuroinflammation,2020,Liu Chun-Hong; Yang Ming-Hao; Zhang Guang-Zhong; Wang Xiao-Xu; Li Bin; Li Meng; Woelfer Marie; Walter Martin; Wang Lihong,10.1186/s12974-020-01732-5,Brain; Depressive Disorder; Humans; Nerve Net; Vagus Nerve Stimulation,Journal Article; Review,core_tcm_intervention,2026-06-11 17:47:33
34446530,Would integrated Western and traditional Chinese medicine have more benefits for stroke rehabilitation? A systematic review and meta-analysis.,"Stroke is a major cause of death or long-term disability worldwide. Many patients with stroke receive integrative therapy consisting of Western medicine (WM) and routine rehabilitation in conjunction with Chinese medicine (CM), such as acupuncture and Chinese herbal medicine. However, there is no available evidence on the effectiveness of the combined use of WM and CM interventions in stroke rehabilitation. The purpose of this meta-analysis is to evaluate the results of all individual studies to assess the combined use of CM and WM in stroke rehabilitation compared with WM only. The Preferred Reporting Items for Systematic Reviews and Meta-Analysis guidelines were followed. MEDLINE, EMBASE, Cochrane and China National Knowledge Infrastructure (CNKI) were searched. The included outcomes were dependency, motor function, depression and swallowing function. Subgroup analysis was performed, and publication bias was assessed using funnel plots. 58 studies and 6339 patients were included in the meta-analysis. Subgroup analysis revealed that combined therapy comprising both acupuncture and WM had a superior effect on improving dependency and swallowing function compared with standard WM therapy alone. Potential superiority of combined therapy comprising CM and WM in improving depression compared with standard WM therapy was also found. Our results indicate that the combined use of CM and WM could be more efficacious in stroke rehabilitation compared with the use of WM therapy alone. However, most studies were short in duration (2 to 4 weeks) and prone to different types of biases, which prevents making any conclusion regarding the long-term effects and raises concerns regarding true efficacy in context of high likelihood of Hawthorn bias. So, more randomised controlled trials with more rigorous design and longer duration of treatment and follow-up need to be conducted to compare WM alone versus WM and CM combined. CRD42020152050.",Stroke and vascular neurology,2022,Zhong Linda Ld; Zheng Ya; Lau Alexander Y; Wong Norman; Yao Liang; Wu Xingyao; Shao Tengteng; Lu Zhenxing; Li Huijuan; Yuen Chun Sum; Guo Jianwen; Lo Suzanne; Chau Janita; Chan Kam Wa; Ng Bacon Fung Leung; Bian Zhaoxiang; Yu Edwin Chau-Leung,10.1136/svn-2020-000781,"Acupuncture Therapy; China; Humans; Medicine, Chinese Traditional; Stroke; Stroke Rehabilitation","Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",core_tcm_intervention,2026-06-11 17:47:33
40466510,Exploring the neuroplasticity hypothesis in depression: The role of traditional Chinese herbal medicine.,"Depression is a mental disorder that seriously affects global health, and its pathogenesis involves multiple factors, including changes in neuroplasticity. The neuroplasticity hypothesis suggests that there may be functional and structural abnormalities in synaptic plasticity, neuronal generation and maturation, neural circuits and related signaling pathways in patients with depression. Traditional Chinese medicine (TCM), as a traditional treatment method, has attracted increasing attention in the field of neuropharmacology in recent years due to its high efficiency and low toxicity. This article will systematically review the neuroplasticity changes in key brain regions and related mechanisms of depression, with a focus on the recent research progress in traditional Chinese herbal medicine intervention on neuroplasticity, to provide new ideas and strategies for the treatment of depression. To investigate the effects and mechanisms of Chinese herbal medicine's antidepressant actions through promoting neuroplasticity, data were collected from CNKI, Web of Science, PubMed, and ScienceDirect through November 2024. In addition, a classification and summary of Chinese herbal medicine to restore neuroplasticity was performed. Brain regions such as the hippocampus, prefrontal cortex, and amygdala are closely associated with neuroplasticity in depression. Moreover, the glutamatergic system, neurotrophic factors, monoamine neurotransmitters, and neuroinflammation are the main mechanisms that regulate neuroplasticity. The benefits of extracts, active ingredients, and formulas of Chinese herbal medicine on neuroplasticity through multiple pathways have been widely reported. The enhancement of neuroplasticity and regulation of its endogenous molecular pathways offer novel therapeutic paradigms for employing botanical interventions in depression management. Future investigations should prioritize mechanistic exploration through integrated preclinical-clinical approaches to elucidate how Chinese herbal formulations modulate neuroplasticity, which decipher the multi-target pharmacological actions underlying botanical antidepressants' therapeutic efficacy.",Phytomedicine : international journal of phytotherapy and phytopharmacology,2025,Zeng Jiuseng; Wang Ziyu; Zhang Xiongwei; Zhao Aotao; Qi Hu; Jiang Yanning; Cai Dingjun; Zeng Nan,10.1016/j.phymed.2025.156927,"Animals; Humans; Antidepressive Agents; Brain; Depression; Drugs, Chinese Herbal; Medicine, Chinese Traditional; Neuronal Plasticity",Journal Article; Systematic Review,core_tcm_intervention,2026-06-11 17:47:33
26880252,"Effects of Acupuncture, Tuina, Tai Chi, Qigong, and Traditional Chinese Medicine Five-Element Music Therapy on Symptom Management and Quality of Life for Cancer Patients: A Meta-Analysis.","Most cancer patients suffer from both the disease itself and symptoms induced by conventional treatment. Available literature on the clinical effects on cancer patients of acupuncture, Tuina, Tai Chi, Qigong, and Traditional Chinese Medicine Five-Element Music Therapy (TCM-FEMT) reports controversial results. The primary objective of this meta-analysis was to evaluate the effect of acupuncture, Tuina, Tai Chi, Qigong, and TCM-FEMT on various symptoms and quality of life (QOL) in patients with cancer; risk of bias for the selected trials also was assessed. Studies were identified by searching electronic databases (MEDLINE via both PubMed and Ovid, Cochrane Central, China National Knowledge Infrastructure, Chinese Scientific Journal Database, China Biology Medicine, and Wanfang Database). All randomized controlled trials (RCTs) using acupuncture, Tuina, Tai Chi, Qigong, or TCM-FEMT published before October 2, 2014, were selected, regardless of whether the article was published in Chinese or English. We identified 67 RCTs (5465 patients) that met our inclusion criteria to perform this meta-analysis. Analysis results showed that a significant combined effect was observed for QOL change in patients with terminal cancer in favor of acupuncture and Tuina (Cohen's d: 0.21-4.55, P < 0.05), whereas Tai Chi and Qigong had no effect on QOL of breast cancer survivors (P > 0.05). The meta-analysis also demonstrated that acupuncture produced small-to-large effects on adverse symptoms including pain, fatigue, sleep disturbance, and some gastrointestinal discomfort; however, no significant effect was found on the frequency of hot flashes (Cohen's d = -0.02; 95% CI = -1.49 to 1.45; P = 0.97; I(2) = 36%) and mood distress (P > 0.05). Tuina relieved gastrointestinal discomfort. TCM-FEMT lowered depression level. Tai Chi improved vital capacity of breast cancer patients. High risk of bias was present in 74.63% of the selected RCTs. Major sources of risk of bias were lack of blinding, allocation concealment, and incomplete outcome data. Taken together, although there are some clear limitations regarding the body of research reviewed in this study, a tentative conclusion can be reached that acupuncture, Tuina, Tai Chi, Qigong, or TCM-FEMT represent beneficial adjunctive therapies. Future study reporting in this field should be improved regarding both method and content of interventions and research methods.",Journal of pain and symptom management,2016,Tao Wei-Wei; Jiang Hua; Tao Xiao-Mei; Jiang Ping; Sha Li-Yan; Sun Xian-Ce,10.1016/j.jpainsymman.2015.11.027,"Acupuncture Therapy; Disease Management; Humans; Medicine, Chinese Traditional; Music Therapy; Neoplasms; Qigong; Quality of Life; Randomized Controlled Trials as Topic; Tai Ji",Journal Article; Meta-Analysis; Review,core_tcm_intervention,2026-06-11 17:47:33
36948325,"Clinical efficacy and immune effects of acupuncture in patients with comorbid chronic pain and major depression disorder: A double-blinded, randomized controlled crossover study.","Depression and pain are highly comorbid and share biological mechanisms. Acupuncture is commonly used to manage both pain and depression, but the choice of acupoints for specific disorders differs. This study aimed to investigate whether specific acupuncture intervention on pain- and depression-acupoints would have specific efficacy and immune effects in patients with comorbid chronic pain and major depressive disorder (MDD). We performed a subject- and assessor-blinded, crossover, and randomized controlled clinical trial of depression- and pain-specific acupuncture intervention and measured clinical responses and proinflammatory cytokines in patients with comorbid chronic pain and MDD. Specific acupoints for pain and depression were used in random order with a washout interval. Forty-seven patients were enrolled and randomly assigned to two groups: (1) the depression-pain group (23 patients who were treated with depression-specific acupoints and then the pain-specific acupoints after the washout) and (2) pain-depression group (24 patients with the reverse order). The pain-specific acupoints for pain did not reduce Brief Pain Inventory scores to a significantly greater degree (-0.97 ± 1.69) than the depression-specific acupoints (-0.28 ± 1.88); likewise, the depression-specific acupoints did not significantly ameliorate Hamilton Depression Rating Scale (-4.59 ± 6.02) than the pain-specific acupoints (-6.69 ± 6.61). The pain-specific acupoints improved Beck Depression Inventory-Second Edition (-6.74 ± 9.76) even better than the depression-specific acupoints (-1.92 ± 10.74). The depression-specific acupoints did not significantly decrease the depression-related interleukin (IL)-6 level (-1.24 ± 6.67) than the pain-specific acupoints (-0.60 ± 4.36). The changed levels of IL-1β, tumor necrosis factor (TNF)-α between the depression-specific acupoints (-37.41 ± 194.49; -12.53 ± 54.68) and the pain-specific acupoints (-15.46 ± 87.56; -7.28 ± 27.86) could not reach significantly different, too. This study rejected our hypothesis that the pain-specific acupoints might produce superior analgesic effects than the depression-specific acupoints and vice versa. The cytokine results might imply that pain and depression share common biological mechanisms. (trial registration: https://www. gov: NCT03328819).","Brain, behavior, and immunity",2023,Liao Hsien-Yin; Satyanarayanan Senthil Kumaran; Lin Yi-Wen; Su Kuan-Pin,10.1016/j.bbi.2023.03.016,Humans; Major Depressive Disorder; Cross-Over Studies; Chronic Pain; Depression; Acupuncture Therapy; Treatment Outcome,"Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't",core_tcm_intervention,2026-06-11 17:47:33
36988362,"Effect of Different Frequencies of Electroacupuncture on Chronic Low Back Pain in Older Adults: A Triple-blind, Placebo-controlled, Randomized Clinical Trial.","Acupuncture is one of the most widely used therapies to treat chronic low back pain, whose analgesic effect seems to be potentiated by the addition of electric current (electroacupuncture). However, we are not aware of any clinical trial that has evaluated the effectiveness of this technique in adults > 65 years. To evaluate the effect of electroacupuncture in the treatment of chronic low back pain in the elderly. Triple-blind, controlled, and randomized clinical trial. Faculty of Medicine, University of São Paulo (USP); Sector of Biological Sciences - Physiotherapy Course, Federal University of Paraná (UFPR). The study included 125 elderly people with chronic nonspecific low back pain who were randomized to one of 5 study groups: 3 of electroacupuncture; one control; and one placebo, all of them treated for 5 weeks. The primary endpoint was pain intensity, and secondary endpoints included the qualitative aspect of pain, functional disability (Roland-Morris and sit and stand test), emotional functioning (depression and anxiety), and psychosocial factors. Data analysis followed the intention-to-treat principle. The confidence interval was set at 95% and the significance level at 5%. All groups achieved a reduction in pain intensity; however, a significant difference was only detected between electroacupuncture and placebo, where the latter showed greater pain reduction. Regarding secondary outcomes, all groups showed good posttreatment results for all assessments but without statistical significance. Among the groups, the placebo was the one that obtained the best results between the pre- and post-treatment for depression, qualitative aspect of pain, and functional disability, but only for the qualitative aspect of pain and for the sit-and-stand test was a significant reduction found in the intergroup comparison. The analysis of the overall effect perceived by the participants in relation to low back pain revealed that individuals from all groups felt close to full recovery. Absence of follow-up and a relatively small number of patients. This study provides evidence that there is no one frequency of electroacupuncture that is most effective in treating chronic low back pain in the elderly and that electroacupuncture is not superior to manual acupuncture or placebo treatment.",Pain physician,2023,Torres Sarina Francescato; de Macedo Ana Carolina Brandt; Sakai Regina Yassue; Bressan Gabriele Cristina Seguro; Dos Santos Matheus Bieberback Rodrigues; Marques Amelia Pasqual,,Humans; Aged; Electroacupuncture; Low Back Pain; Treatment Outcome; Acupuncture Therapy; Chronic Pain,"Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't",core_tcm_intervention,2026-06-11 17:47:33
