PMID,SourceQueries
38331979,core_tcm_intervention
35168522,clinical_subtypes; core_tcm_intervention
37143014,core_tcm_intervention
37248211,core_tcm_intervention
32050990,core_tcm_intervention
34446530,core_tcm_intervention
40466510,core_tcm_intervention
26880252,core_tcm_intervention
36948325,core_tcm_intervention
36988362,core_tcm_intervention
39648209,core_tcm_intervention
37502820,core_tcm_intervention
39726932,core_tcm_intervention
39426604,core_tcm_intervention; pathway_mechanism
42088582,core_tcm_intervention
31344252,core_tcm_intervention
27693978,core_tcm_intervention
38262525,clinical_subtypes; core_tcm_intervention
28807166,core_tcm_intervention; tcm_syndrome
38669363,core_tcm_intervention
34551699,core_tcm_intervention
32457610,core_tcm_intervention; network_pharmacology
39620153,core_tcm_intervention
28925891,core_tcm_intervention
40934745,core_tcm_intervention; pathway_mechanism
36949321,core_tcm_intervention
25306866,core_tcm_intervention
38983910,core_tcm_intervention
36969689,core_tcm_intervention
40677296,core_tcm_intervention
31686629,core_tcm_intervention
41163407,core_tcm_intervention
37159675,core_tcm_intervention
33116523,core_tcm_intervention
9646895,core_tcm_intervention
40823261,core_tcm_intervention; network_pharmacology
34729102,core_tcm_intervention
35496318,core_tcm_intervention
39253375,core_tcm_intervention
41100813,core_tcm_intervention
40018358,core_tcm_intervention
37631092,core_tcm_intervention
36873772,core_tcm_intervention
36682244,core_tcm_intervention; network_pharmacology
31370200,core_tcm_intervention
37808349,core_tcm_intervention
25183301,core_tcm_intervention
24697344,core_tcm_intervention; tcm_syndrome
37354040,core_tcm_intervention
27040419,core_tcm_intervention
40515694,core_tcm_intervention
36905913,core_tcm_intervention
35152089,core_tcm_intervention
40374592,core_tcm_intervention
34225013,core_tcm_intervention
39528081,core_tcm_intervention
33466877,core_tcm_intervention; network_pharmacology
37930334,core_tcm_intervention
36054612,core_tcm_intervention; pathway_mechanism
30396632,clinical_subtypes; core_tcm_intervention
40033393,core_tcm_intervention
41791600,core_tcm_intervention
38835657,core_tcm_intervention; network_pharmacology
41437027,core_tcm_intervention
39261426,core_tcm_intervention
