Target ID,Protein Name,Gene Symbol,Uniprot ID,Herb ID,Chinese Pin Yin,English_name,Latin_name
T12WTT,Interleukin-5,IL5,P05113,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T27U96,Granulocyte-macrophage colony-stimulating factor,CSF2,P04141,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T16A2X,Catalase,CAT,P04040,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T30D9G,Superoxide dismutase [Cu-Zn],SOD1,P00441,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T87UKX,Glucose-6-phosphate 1-dehydrogenase,G6PD,P11413,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T82JWE,Cellular tumor antigen p53,TP53,P04637,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T20OEM,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T17CZC,Tissue factor,F3,P13726,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T02HSM,Neuroglobin,NGB,Q9NPG2,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T58XLK,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,P18031,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T83YZD,Acetylcholinesterase,ACHE,P22303,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T13KGH,Tyrosinase,TYR,P14679,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T12PIB,Lysosomal alpha-glucosidase,GAA,P10253,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T91T8I,Glucose-6-phosphatase catalytic subunit 1,G6PC1,P35575,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T25Y64,Cholinesterase,BCHE,P06276,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T58J2Y,Peroxisome proliferator-activated receptor gamma,PPARG,P37231,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T42EAZ,Vascular endothelial growth factor A,VEGFA,P15692,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T74LFK,Neurogenic locus notch homolog protein 1,NOTCH1,P46531,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T71K92,Apoptosis regulator Bcl-2,BCL2,P10415,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T62ERY,Interleukin-1 receptor-associated kinase 4,IRAK4,Q9NWZ3,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T06RMZ,Nuclear factor NF-kappa-B p105 subunit,NFKB1,P19838,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T22NX4,Toll-like receptor 2,TLR2,O60603,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T29MD1,Mitogen-activated protein kinase 8,MAPK8,P45983,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T79WXA,Mitogen-activated protein kinase 1,MAPK1,P28482,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T76AZQ,Histidine decarboxylase,HDC,P19113,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T69RXK,Cytochrome P450 2C9,CYP2C9,P11712,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T18CUI,Neuron-specific calcium-binding protein hippocalcin,HPCA,P84074,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
T60UPF,Parvalbumin alpha,PVALB,P20472,H0002,Hui Xiang,Fennel fruit,Foeniculum vulgare
