symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Dyssomnia,SMHB00596,0.000577,0.003923,1
Vitreous Detachment Posterior,SMHB00596,0.024232,0.052098,1
Insomnia,SMHB00596,1.00E-05,0.000143,0.254553
Angina Symptoms,SMHB00596,0.024232,0.052098,1
Hemoptysis,SMHB00596,0.000693,0.004526,1
Epistaxis,SMHB00596,0.047887,0.077434,1
Subwakefullness Syndromes,SMHB00596,0.047887,0.077434,1
 Anemic,SMHB00596,0.047887,0.077434,1
Melena,SMHB00596,0.000577,0.003923,1
Palpitation(S),SMHB00596,0.001434,0.008137,1
Unresponsive To Stimuli,SMHB00596,0.024232,0.052098,1
Anemia,SMHB00596,0.024232,0.052098,1
Cough,SMHB00596,0.044011,0.07328,1
 Long Sleeper Syndrome,SMHB00596,0.047887,0.077434,1
Motion Sickness,SMHB00596,0.000577,0.003923,1
Lip Paresthesia,SMHB00596,0.024232,0.052098,1
Muscle Wasting,SMHB00596,0.047887,0.077434,1
Urethra Hemorrhage,SMHB00596,0.024232,0.052098,1
Air Sickness,SMHB00596,0.000577,0.003923,1
 Sleep-Related Neurogenic Tachypnoea,SMHB00596,0.047887,0.077434,1
Short-Sleeper,SMHB00596,0.047887,0.077434,1
Vitreous Detachment,SMHB00596,0.024232,0.052098,1
Uterine Bleeding,SMHB00596,0.000441,0.003167,1
Hemorrhage Postpartum,SMHB00596,0.037914,0.066713,1
Vision Halo,SMHB00596,0.024232,0.052098,1
Sleep Disorder,SMHB00596,5.30E-05,0.000562,1
Sea Sickness,SMHB00596,0.000577,0.003923,1
Metrorrhagia,SMHB00596,2.00E-05,0.000254,0.499936
Hemorrhage Of Pregnancy,SMHB00596,0.005504,0.023938,1
Menorrhagia,SMHB00596,0.011203,0.037373,1
Menometrorrhagia,SMHB00596,0.011203,0.037373,1
Poor Quality Sleep,SMHB00596,0.024232,0.052098,1
Cough Persistent,SMHB00596,0.008128,0.031317,1
Erythematous Condition,SMHB00596,0.047887,0.077434,1
Insomnia Adverse Event,SMHB00596,0.024232,0.052098,1
Transient Insomnia,SMHB00596,0.024232,0.052098,1
Haemorrhage Ant Chamber Eye,SMHB00002,None,None,None
Hemorrhage,SMHB00002,None,None,None
Abdominal Tenderness,SMHB00002,0.019472,0.04715,1
 Physical Suffering,SMHB00002,None,None,None
Polymenorrhea,SMHB00002,None,None,None
 Anemic,SMHB00002,0.038573,0.067295,1
Abdominal Pain,SMHB00002,None,None,None
Hematemesis,SMHB00002,None,None,None
Hyperalgia,SMHB00002,None,None,None
" Disease, Endometrial",SMHB00002,0.019472,0.04715,1
Pain,SMHB00002,None,None,None
Menses Abnormal,SMHB00002,None,None,None
Anemia,SMHB00002,0.019472,0.04715,1
Bronchiectasis,SMHB00002,0.000371,0.002762,1
Burning Pain,SMHB00002,None,None,None
 Splitting Pain,SMHB00002,None,None,None
Uterine Disorder,SMHB00002,0.019472,0.04715,1
 Migratory Pain,SMHB00002,None,None,None
 Subfertility,SMHB00002,None,None,None
Infertility,SMHB00002,None,None,None
Uterine Bleeding,SMHB00002,4.00E-06,6.50E-05,0.104469
Hemorrhage Postpartum,SMHB00002,0.025238,0.053416,1
Ache,SMHB00002,None,None,None
Scalp Pruritus,SMHB00002,0.019472,0.04715,1
 Hypomenorrhea,SMHB00002,None,None,None
Asthenia,SMHB00002,None,None,None
Lips Bleeding,SMHB00002,0.019472,0.04715,1
Metrorrhagia,SMHB00002,None,None,None
Hemorrhage Of Pregnancy,SMHB00002,None,None,None
Pain Radiating,SMHB00002,None,None,None
Crushing Pain,SMHB00002,None,None,None
Vaginal Bleeding,SMHB00002,0.019472,0.04715,1
Retrograde Menstruation,SMHB00002,None,None,None
Typhoid Fever,SMHB00002,None,None,None
Menorrhagia,SMHB00002,None,None,None
Menometrorrhagia,SMHB00002,None,None,None
General Abdominal Pain-Symptom,SMHB00002,0.019472,0.04715,1
Gastric Ulcer Bleeding,SMHB00002,0.019472,0.04715,1
Female Infertility,SMHB00002,0.019472,0.04715,1
 Physical Suffering,SMHB00001,None,None,None
Cough Productive,SMHB00001,None,None,None
"Sputums, Induced",SMHB00001,None,None,None
Rheumatism,SMHB00001,None,None,None
Soft Tissue Injury,SMHB00001,0.00021,0.00175,1
Amenorrhea,SMHB00001,0.043509,0.072737,1
Abdominal Pain,SMHB00001,None,None,None
Caustic Injury,SMHB00001,None,None,None
Hyperalgia,SMHB00001,None,None,None
"Amenorrhea, Postpartum",SMHB00001,0.043509,0.072737,1
Jaundice,SMHB00001,None,None,None
Pain,SMHB00001,None,None,None
Arthritic Pains,SMHB00001,None,None,None
Cough,SMHB00001,None,None,None
Burning Pain,SMHB00001,None,None,None
 Splitting Pain,SMHB00001,None,None,None
Gasping,SMHB00001,None,None,None
