Compound Id,Pref Name,CAS,Pubchem ID,Chembl ID,Formula,Smiles,Herb ID
C0399,Sesamin,CAS:607-80-7,CID:72307,CHEMBL252915,C20H18O6,C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,H0629
C0219,Methyleugenol,CAS:93-15-2,CID:7127,CHEMBL108861,C11H14O2,C=CCc1ccc(c(c1)OC)OC,H0629
C0400,Sesamol,CAS:533-31-3,CID:68289,CHEMBL1517998,C7H6O3,C1OC2=C(O1)C=C(C=C2)O,H0629
C0064,Eugenol,CAS:97-53-0,CID:3314,CHEMBL42710,C10H12O2,COC1=C(C=CC(=C1)CC=C)O,H0629
C0063,Eucalyptol,CAS:470-82-6,CID:2758,CHEMBL1231862,C10H18O,CC1(C2CCC(O1)(CC2)C)C,H0629
C0240,Naphthalene,None,CID:931,CHEMBL16293,C10H8,C1=CC=C2C=CC=CC2=C1,H0629
C1218,Carvacrol,CAS:499-75-2,CID:10364,CHEMBL281202,C10H14O,CC(c1ccc(c(c1)O)C)C,H0629
C0381,Safrole,CAS:94-59-7,CID:5144,CHEMBL242273,C10H10O2,C=CCc1ccc2c(c1)OCO2,H0629
C0291,Paraben,None,CID:3702506,CHEMBL441343,C7H6O3,Oc1ccc(cc1)C(=O)O,H0629
C0921,Aristolochic Acid,CAS:313-67-7,CID:2236,CHEMBL93353,C17H11NO7,COc1cccc2c1cc(N(=O)=O)c1c2c2OCOc2cc1C(=O)O,H0629
C0956,Atenolol,CAS:29122-68-7,CID:2249,CHEMBL24,C14H22N2O3,OC(COc1ccc(cc1)CC(=N)O)CNC(C)C,H0629
C0248,Nifedipine,CAS:21829-25-4,CID:4485,CHEMBL193,C17H18N2O6,COC(=O)C1=C(C)NC(=C(C1c1ccccc1N(=O)=O)C(=O)OC)C,H0629
C0447,Thymol,CAS:89-83-8,CID:6989,CHEMBL29411,C10H14O,CC1=CC(=C(C=C1)C(C)C)O,H0629
C0283,Paeonol,CAS:552-41-0,CID:11092,CHEMBL1079227,C9H10O3,CC(=O)C1=C(C=C(C=C1)OC)O,H0629
C0100,Gefitinib,None,CID:123631,CHEMBL939,C22H24ClFN4O3,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,H0629
C1209,Camphor,CAS:76-22-2,CID:159055,CHEMBL504760,C10H16O,O=C1C[C@@H]2C([C@@]1(C)CC2)(C)C,H0629
C0242,Naringenin,CAS:480-41-1,CID:439246,CHEMBL9352,C15H12O5,Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,H0629
C0523,Terpineol,None,CID:11230,CHEMBL507795,C10H18O,CC1=CCC(CC1)(O)C(C)C,H0629
C0504,Limonene,CAS:138-86-3,CID:440917,CHEMBL449062,C10H16,CC1=CCC(CC1)C(=C)C,H0629
C0697,?-Pinene,CAS:80-56-8,CID:440968,CHEMBL3109297,C10H16,CC1=CC[C@H]2C[C@@H]1C2(C)C,H0629
C0771,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One",None,CID:2537,CHEMBL15768,C10H16O,CC1(C2CCC1(C(=O)C2)C)C,H0629
C0528,Alpha-Terpineol,None,CID:443162,CHEMBL447597,C10H18O,CC1=CCC(CC1)C(C)(C)O,H0629
C0491,"1-(4-Hydroxy-Benzyl)-1,2,3,4-Tetrahydro-Isoquinoline-6,7-Diol",None,CID:114840,CHEMBL19344,C16H17NO3,C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O,H0629
C0188,Linalool,CAS:78-70-6,CID:6549,CHEMBL25306,C10H18O,CC(=CCCC(C)(C=C)O)C,H0892
C0479,Vanillin,CAS:121-33-5,CID:1183,CHEMBL13883,C8H8O3,COC1=C(C=CC(=C1)C=O)O,H0892
C0285,Palmitic Acid,CAS:57-10-3,CID:985,CHEMBL82293,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,H0892
C1247,Citronellol,CAS:106-22-9,CID:8842,CHEMBL395827,C10H20O,OCCC(CCC=C(C)C)C,H0892
C0447,Thymol,CAS:89-83-8,CID:6989,CHEMBL29411,C10H14O,CC1=CC(=C(C=C1)C(C)C)O,H0892
C0263,Oleic Acid,CAS:112-80-1,CID:445639,CHEMBL8659,C18H34O2,CCCCCCCCC=CCCCCCCCC(=O)O,H0892
C1240,Chrysophanol,CAS:481-74-3,CID:10208,CHEMBL41092,C15H10O4,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,H0892
C0219,Methyleugenol,CAS:93-15-2,CID:7127,CHEMBL108861,C11H14O2,C=CCc1ccc(c(c1)OC)OC,H0892
C1203,Caffeic Acid,CAS:331-39-5,CID:689043,CHEMBL145,C9H8O4,C1=CC(=C(C=C1C=CC(=O)O)O)O,H0892
C0258,Octanoic Acid,None,CID:379,CHEMBL324846,C8H16O2,CCCCCCCC(=O)O,H0892
C1231,Chlorogenic Acid,CAS:327-97-9,CID:1794427,CHEMBL284616,C16H18O9,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,H0892
C0489,Z-Butylidenephthalide,CAS:72917-31-8,CID:642376,CHEMBL249592,C12H12O2,CCCC=C1C2=CC=CC=C2C(=O)O1,H0892
C0186,Ligustilide,CAS:4431-01-0,CID:5319022,CHEMBL481246,C12H14O2,CCC/C=C/1\OC(=O)C2=C1CCC=C2,H0892
C0073,Ferulic Acid,CAS:1135-24-6,CID:445858,CHEMBL32749,C10H10O4,COc1cc(/C=C/C(=O)O)ccc1O,H0892
C0189,Linoleic Acid,CAS:60-33-3,CID:5280450,CHEMBL267476,C18H32O2,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,H0892
