herb ,efficacy
H0763,Water utilization
H0763,Dampness  
H0763,Reduce swelling 
H0763,Yellowing 
H0424,Cool blood  
H0424,Dampness  
H0424,Purging fire 
H0424,Clear heat 
H0424,Detoxify 
H0424,Get rid of trouble
H0581,Nourish the liver 
H0581,Fixed tire 
H0581,Eyesight 
H0581,Stop leaking 
H0581,Yijing 
H0581,Tonifying the kidney 
H1110,Run intestines
H1110,Laxative
H1110,Nourish the lungs
H1110,Resolve phlegm 
H0570,Strengthen the spleen
H0570,Water utilization
H0570,And stomach
H0570,Ning Xin
H0570,Soothe the nerves 
H0570,Wetting 
H0964,Diuretic
H0964,Purging fire 
H0964,Pure heart 
H0511,Analgesic
H0511,Reduce swelling 
H0511,Remove blood stasis 
H0511,Blood run 
H0998,Water utilization
H0998,Reduce swelling 
H0998,Clear heat 
H0259,Solid essence 
H0259,Sore 
H0259,Cough  
H0259,Hemostasis 
H0259,Astringent intestines 
H0894,Strong bones 
H0894,Stop bleeding  
H0894,Nourish the liver 
H0894,Tonifying the kidney 
H0894,Tune blood  
H0589,Breast milk 
H0589,Diuretic
H0589,Invigorate blood 
H0589,Eliminate carbuncle 
H0589,Tonglin
H0589,Pass through 
H0009,Dampness  
H0009,Sanyu
H0009,Analgesic
H0009,Clear heat 
H1090,Dispel cold  
H1090,Analgesic
H1090,Dispel the wind  
H1090,Shengshi 
H0831,Diuretic
H0831,Wetting 
H0390,Fetus 
H0390,Strong bones 
H0390,Rheumatism 
H0390,Nourish the liver 
H0390,Tonifying the kidney 
H1254,Fetus 
H1254,Hemostasis 
H1254,Purging fire 
H1254,Clear heat 
H1254,Dampness 
H1254,Detoxify 
H0396,Heat dissipation 
H0396,Eyesight 
H0396,Moisturize  
H0396,Liver cleansing 
H0396,Cleans the lungs 
H0396,Soothing wind 
H0172,Diuretic
H0172,Anti-vomiting 
H0172,Clear heat 
H0172,Shengjin 
H0172,Rash 
H0172,Get rid of trouble
H0033,Lead lag 
H0033,Digestion 
H0164,Diuretic
H0164,Huayu 
H0164,Clear heat 
H0164,Detoxify 
H0109,Insecticide 
H0109,Analgesic
H0109,Qi 
H0631,Nourish yin 
H0631,Clear the fire 
H0631,Shengjin 
H0631,Invigorate
H0295,Dispel cold  
H0295,Warm the kidney  
H0295,Analgesic
H0295,Wenzhong  
H0295,Qi 
H1006,Dehumidification 
H1006,Appetizer 
H1006,Anti-vomiting 
H1006,Digestion 
H1006,Wenzhong  
H1006,Qi 
H0168,Soothe the nerves 
H0168,Yiqi 
H0168,Fill the heart 
H0168,Nourish the spleen  
H0168,Tonic 
Tong Lv,To rot 
Tong Lv,Eyesight 
Tong Lv,Insecticide 
Tong Lv,Antipruritic
Tong Lv,Spitting out 
Tong Lv,Detoxify 
Tong Lv,Retreat 
H1174,Water utilization
H1174,Invigorate blood 
H1174,Dispel the wind  
H1174,Detoxify 
H0503,Analgesic
H0503,Invigorate blood 
H0503,Dampness 
H0503,Dispel the wind  
H0503,Shujin 
H0503,Tongluo 
Duan Jin Meng Shi,Get angry  
Duan Jin Meng Shi,Phlegm 
Duan Jin Meng Shi,Pinggan 
Duan Jin Meng Shi,Attack product 
Duan Jin Meng Shi,Digestion 
Duan Jin Meng Shi,Stun
H0458,Clear heat 
H0458,Nourish yin 
H0458,Shengjin 
H0458,Benefit stomach 
H0742,Asthma 
H0742,Anti-vomiting 
H0742,Analgesic
H0742,Wenzhong  
H0742,Nai Qi 
H0742,Qi 
He Huan Pi,Soothe the nerves 
He Huan Pi,Invigorate blood 
He Huan Pi,Reduce swelling 
He Huan Pi,Depression 
H0105,Eliminate carbuncle 
H0105,Reduce swelling 
H0105,Clear heat 
H0105,Detoxify 
Sheng Shan Zha,Lag 
Sheng Shan Zha,Huayu 
Sheng Shan Zha,Depletion 
Sheng Shan Zha,Digestion 
Mu Ze Cao,Dissipate wind heat 
Mu Ze Cao,Retreat 
H0059,Clear heat 
H0059,Dampness 
H0059,Dispel the wind  
H0059,Detoxify 
H1105,Li Qi 
H1105,Resolve phlegm 
H1105,Wide chest 
H1105,Cleans the lungs 
H0632,Break up 
H0632,Eyesight 
H0632,Reduce swelling 
H0632,Clear the fire 
Jin Yin Hua Tan,Dissipate wind heat 
Jin Yin Hua Tan,Clear heat 
Jin Yin Hua Tan,Detoxify 
H0239,Nourish yin 
H0239,Cleans the lungs 
H0239,Shengjin 
H0239,Benefit stomach 
Ta Gan,Nourish yin 
Ta Gan,Cough  
Ta Gan,Hemostasis 
Ta Gan,Heat removal   
H0687,Sanyu
H0687,Analgesic
H0687,Invigorate blood 
H0687,Li Qi 
Xiong Hei Dou,Strengthen the spleen
Xiong Hei Dou,Water utilization
Xiong Hei Dou,Invigorate blood 
Xiong Hei Dou,Tonifying the kidney 
Xiong Hei Dou,Dispel the wind  
Xiong Hei Dou,Detoxify 
Chao Cao Guo,Cut malaria 
Chao Cao Guo,Wenzhong  
Chao Cao Guo,Dampness 
Chao Cao Guo,Expectorant  
H0266,Sanyu
H0266,Invigorate blood 
